genes	logFC	logCPM	LR	PValue	FDR		
FLOT2	0.606875236	5.880204313	14.64003946	0.00013012	0.005219074		
LOC101905590	1.050557004	2.699339906	14.63284917	0.000130618	0.005224348		
STX18	0.474044056	4.445184464	14.62305939	0.000131298	0.005236887		
DHRS4	0.888024947	4.488579055	14.60437846	0.000132606	0.005274324		
CFB	1.965784635	1.953196942	14.5937218	0.000133358	0.005289501		
LOC788801	0.683771262	7.290937224	14.58342187	0.000134089	0.005296099		
HIP1	0.706321991	4.923799696	14.580933	0.000134266	0.005296099		
CCDC86	0.622629425	4.448969358	14.57272905	0.000134852	0.005304554		
LOC107133121	1.13542014	2.342171083	14.55999487	0.000135767	0.005325853		
FTL	0.65499952	8.669588772	14.54013391	0.000137205	0.005358796		
STAMBPL1	-0.449674271	4.561595555	14.53805242	0.000137357	0.005358796		
HIST1H1D	1.177596678	3.89421309	14.52977004	0.000137962	0.005363901		
PLXND1	1.118595324	4.400480877	14.52360288	0.000138414	0.005363901		
CADPS2	1.229060647	2.324315386	14.52087916	0.000138615	0.005363901		
TSPAN32	0.774033862	5.635860549	14.4824029	0.000141475	0.005459788		
ASGR2	2.085464015	0.358709434	14.41566408	0.000146578	0.005625119		
PDXK	0.840238287	4.932490902	14.41189857	0.000146871	0.005625119		
NFIX	1.320953447	-0.092631985	14.41100696	0.000146941	0.005625119		
RGS10	0.662963286	6.711441542	14.40387636	0.000147498	0.005631362		
ITGAE	-0.421214874	5.283778281	14.39279874	0.000148369	0.00563863		
CFAP126	1.113253184	3.169342275	14.39140437	0.000148479	0.00563863		
LOC104970698	1.288060497	0.65130461	14.36563728	0.000150524	0.005701159		
ECM1	1.446940862	5.889855217	14.30045413	0.000155827	0.005886396		
CLIC5	0.883904596	5.7070723	14.28752515	0.000156901	0.005911328		
STEAP3	0.948530804	4.084608891	14.25333	0.000159778	0.006003863		
LOC104971636	-0.923017373	1.387256928	14.23411872	0.000161417	0.006049544		
ATF3	0.798543479	3.310061191	14.21838302	0.000162773	0.006084371		
LOC101908167	-1.490897099	1.279098762	14.20259431	0.000164144	0.006111223		
DPP3	0.408997062	5.336988427	14.20027	0.000164347	0.006111223		
ABAT	1.022948368	3.071383036	14.19337372	0.00016495	0.00611773		
MGST1	0.822817555	5.719685645	14.1813354	0.000166009	0.006141046		
VCL	0.782372378	7.748396745	14.17496	0.000166573	0.006145967		
LOC104973832	1.855110799	0.992685665	14.15702295	0.000168168	0.006185548		
TMEM106B	-0.514421549	6.550899993	14.15318416	0.000168512	0.006185548		
WFDC3	2.055053327	-0.385413803	14.13588956	0.000170068	0.006226666		
POLG2	-0.477583497	5.197797848	14.10365556	0.000173007	0.006318082		
IFI44	1.09607854	5.562193236	14.07743847	0.000175436	0.006365609		
DDX58	1.007723416	6.420820622	14.07641594	0.000175531	0.006365609		
SULF2	-1.163788118	2.150739459	14.07518345	0.000175646	0.006365609		
ABHD1	0.538785823	4.593992077	14.06669203	0.000176441	0.006378225		
TBC1D8	0.827107722	6.51602341	14.04555171	0.000178435	0.006434038		
CENPBD1	-0.823723776	1.755092246	14.03888841	0.000179069	0.006440612		
CALCOCO2	0.492760612	7.372468423	13.99495427	0.000183302	0.0065763		
MAP4K3	-0.681406336	5.067871173	13.96565497	0.000186181	0.006662846		
GNS	0.580420008	6.653284807	13.94947908	0.00018779	0.006703622		
ZNF618	1.012761975	1.836267235	13.93906652	0.000188833	0.006718173		
LOC509283	1.023394173	8.05443843	13.93602733	0.000189138	0.006718173		
RHCG	4.050761575	-0.671770361	13.92254627	0.0001905	0.006735671		
OAS1Y	2.123493199	5.281404963	13.921809	0.000190574	0.006735671		
IQSEC2	0.686675432	2.913784798	13.89244143	0.000193575	0.006814573		
PECAM1	0.79993804	5.349978752	13.89063776	0.000193761	0.006814573		
SRPK3	1.669576892	-0.386599305	13.84920399	0.000198081	0.006949369		
DISC1	0.948941706	3.486996376	13.7931283	0.000204081	0.007142346		
LOC100847780	0.99901799	2.660577008	13.77300022	0.00020628	0.00720163		
STAC2	-1.072648906	3.120365426	13.76619216	0.000207029	0.007210148		
ACKR2	1.42159026	0.930623492	13.75112609	0.000208696	0.007240156		
SRGAP2	0.61065996	5.075694493	13.74924942	0.000208904	0.007240156		
ABO	0.995588787	2.655625597	13.68848604	0.000215773	0.007460115		
CXCL16	0.829367486	4.304279655	13.68297095	0.000216408	0.007463984		
UBE2F	0.579764369	5.370018178	13.6738226	0.000217465	0.007482361		
LOC101902172	0.788446047	4.369445529	13.66205858	0.000218831	0.007508987		
IL7	1.140498327	2.964980938	13.65812483	0.00021929	0.007508987		
LOC101906463	-1.43085142	4.762200497	13.62555057	0.000223128	0.007622118		
KCNN4	-0.53699578	6.365127263	13.57501728	0.000229216	0.007802223		
CISH	0.542008608	5.166785461	13.5727475	0.000229493	0.007802223		
KIF1B	0.501340116	5.164423941	13.56192803	0.00023082	0.007815668		
C16H1orf233	1.133910879	0.399572675	13.56059887	0.000230983	0.007815668		
LOC515150	-1.609244276	3.835790959	13.55297184	0.000231924	0.00782894		
DOK2	0.560150387	6.633272699	13.50897654	0.000237425	0.007995735		
AGBL3	-1.058269796	2.88904102	13.49346036	0.000239396	0.008043153		
GLMN	-0.364492876	5.055540542	13.47090358	0.000242292	0.008121319		
ERO1B	-0.531510611	6.325673406	13.45812756	0.000243947	0.008157659		
ADORA2B	-0.354682811	6.285894605	13.43989063	0.00024633	0.008213036		
GNB4	0.790258021	4.740981846	13.43666825	0.000246753	0.008213036		
STK17B	-0.468139014	9.265339302	13.42623003	0.00024813	0.008226768		
ZYX	0.690011827	9.254163596	13.42480898	0.000248318	0.008226768		
LOC101904916	1.641507972	0.842719971	13.39819977	0.000251866	0.008324985		
GLRX	0.681436743	6.885364837	13.35984816	0.000257069	0.008435808		
CXHXorf23	-0.525947319	5.01037371	13.35974361	0.000257083	0.008435808		
CCR5	1.191805216	3.302214859	13.35797881	0.000257325	0.008435808		
LOC530437	3.892814406	3.776152526	13.35286945	0.000258028	0.008435808		
DOCK7	0.689128492	3.435744861	13.3467245	0.000258874	0.008435808		
RGN	-1.077211438	0.923297849	13.34485861	0.000259132	0.008435808		
SLC15A3	0.666482192	5.444934812	13.34322388	0.000259358	0.008435808		
ISG15	2.2149182	6.142210675	13.33898473	0.000259945	0.008435808		
AKR7A2	0.674475408	5.391930171	13.30204294	0.000265117	0.008584143		
RBM3	-0.560223259	6.998632612	13.2928281	0.000266423	0.008596501		
FAM20C	0.769931684	2.294406803	13.2908619	0.000266703	0.008596501		
LRRC57	-0.493517145	4.530666059	13.28254438	0.000267889	0.008615276		
EPSTI1	0.564806519	7.222581211	13.27304539	0.000269249	0.00863958		
LOC100297044	-1.377464709	4.964483649	13.26210084	0.000270826	0.008670682		
CSF1	1.312010981	3.819148751	13.20187459	0.000279669	0.008933774		
LOC104968518	-0.558403215	3.395356578	13.1850737	0.000282188	0.008994104		
TCAIM	-0.596757406	3.229649188	13.16620687	0.000285043	0.009037958		
UBE2G1	-0.68573124	7.590211571	13.166064	0.000285065	0.009037958		
SPTSSA	0.626451761	5.092651784	13.16068663	0.000285884	0.009037958		
LOC107131400	1.340836485	0.815291856	13.1589589	0.000286148	0.009037958		
FAIM	-0.5832919	3.283645312	13.15516093	0.000286728	0.009037958		
LOC101903668	-1.060043225	2.093438625	13.14171875	0.000288793	0.009082979		
RNF10	0.488344362	8.987013751	13.1071151	0.000294176	0.009231965		
GAB1	0.61257509	3.136259462	13.08458171	0.000297736	0.009323195		
KYNU	0.835648731	5.836320099	13.06795533	0.000300391	0.009379736		
ALAS1	0.555720832	5.339529081	13.06505887	0.000300856	0.009379736		
HK3	0.565672205	7.769038119	13.04406478	0.000304247	0.009464801		
SCFD2	0.540308944	5.152846904	13.02666117	0.000307088	0.009516199		
LOC516742	0.927882716	3.390825639	13.02455522	0.000307433	0.009516199		
CA5B	-0.834402229	4.659461889	13.02172179	0.000307899	0.009516199		
RASSF4	0.736195513	5.267425106	13.01497311	0.00030901	0.009529928		
LOC104972200	-1.58636191	1.441191342	13.00326707	0.000310948	0.009569022		
AMN1	-0.44542839	6.157141996	12.9573541	0.000318667	0.00978146		
FES	0.563002	5.866434689	12.95410213	0.000319221	0.00978146		
LOC100851913	1.839363368	4.407182579	12.94638107	0.000320541	0.009800853		
TRAPPC6B	-0.441374199	4.646619161	12.94042633	0.000321562	0.009802112		
ALDH4A1	0.714030894	4.93200105	12.93489226	0.000322514	0.009802112		
LOC107131579	-1.402297318	1.922605287	12.93061114	0.000323252	0.009802112		
JAKMIP3	0.498793167	4.630067115	12.93017481	0.000323328	0.009802112		
OAT	0.499670931	6.097132832	12.9107053	0.000326708	0.009883614		
INSIG1	0.47029958	5.734491091	12.8863786	0.000330982	0.009971052		
CCDC28A	-0.393672128	4.79542185	12.88630601	0.000330995	0.009971052		
CD300LF	0.96801593	5.684881891	12.87456519	0.000333078	0.010012678		
CMBL	0.949496277	3.653442143	12.84323412	0.000338702	0.010160339		
APRT	0.656343536	6.659141195	12.83495061	0.000340204	0.010184023		
MCFD2	0.515099438	6.26696769	12.79705453	0.000347166	0.010370662		
TFEC	0.783911534	5.503224636	12.784731	0.00034946	0.010403842		
ARHGAP5	1.034826792	3.311679883	12.78086832	0.000350182	0.010403842		
ZP3	-0.854915393	3.089428338	12.77937462	0.000350462	0.010403842		
BCL2L1	0.826684126	5.802229141	12.76390547	0.000353372	0.010468471		
GSR	0.582036564	5.663137457	12.74307893	0.000357329	0.010559039		
OAS2	2.381696476	4.699219938	12.74004819	0.000357908	0.010559039		
GJB2	1.071910921	2.343178134	12.73223876	0.000359406	0.010581359		
LOC100298356	1.242755507	3.523577073	12.72788461	0.000360244	0.0105842		
CTSH	0.731961005	8.008546621	12.70762426	0.000364168	0.010677519		
CTNNA3	-0.921051049	3.521824703	12.70146704	0.000365369	0.010689095		
LOC512486	1.122900651	8.070190015	12.69793402	0.00036606	0.010689095		
GPR146	0.677721181	4.04574099	12.67855131	0.000369874	0.010711032		
MIR223	-1.400592322	2.785672337	12.67696789	0.000370187	0.010711032		
MAPK6	0.487346178	6.133206205	12.67630472	0.000370319	0.010711032		
NPC2	0.7361443	7.832065245	12.67257947	0.000371057	0.010711032		
MBOAT1	0.413242026	6.214455416	12.67138397	0.000371295	0.010711032		
PCDH9	1.207123255	0.889768495	12.67129739	0.000371312	0.010711032		
MAD2L2	0.575032436	3.628116342	12.64641734	0.000376286	0.010832639		
LOC518080	0.926931046	4.431797093	12.62405598	0.000380814	0.010913788		
KSR1	0.515811548	5.654052834	12.62390017	0.000380846	0.010913788		
C28H10orf11	1.215490221	2.877667931	12.62119278	0.000381398	0.010913788		
LOC104975876	2.744631297	-0.584193386	12.60419611	0.000384882	0.010991453		
KIF5C	1.620411793	0.442721866	12.59779247	0.000386203	0.011006756		
SKAP2	0.656099583	7.515736788	12.59413415	0.000386959	0.011006756		
ADCY9	0.798282702	4.176689848	12.58557945	0.000388734	0.011035268		
SSPN	-1.339731718	-0.408817949	12.57472678	0.000390998	0.011077512		
NOTCH3	0.872342754	3.502363571	12.56188149	0.000393695	0.011120525		
PELI2	0.837906983	3.872433206	12.55768824	0.00039458	0.011120525		
TRIM23	-0.4560395	5.152016828	12.55639373	0.000394853	0.011120525		
MS4A8	-0.710493711	6.081383303	12.537259	0.000398917	0.011212867		
LOC104969239	-0.850942342	2.75755227	12.52695552	0.000401123	0.011252718		
CLEC1B	2.64387252	1.681565608	12.4984308	0.000407294	0.011403433		
LAMTOR2	0.771475623	5.787097784	12.48963335	0.000409217	0.011434838		
LOC101902944	-2.538685268	-0.535148438	12.46526515	0.00041459	0.011562355		
GBP2	1.242239514	7.434112294	12.46063281	0.000415619	0.01156847		
CKB	1.02376552	5.666540568	12.42121979	0.000424483	0.011792201		
SCAMP1	0.457084948	5.73217708	12.4119455	0.000426596	0.011822403		
RILPL2	0.80904327	8.978199318	12.4072204	0.000427677	0.011822403		
LPCAT3	0.486651258	4.359527576	12.40546618	0.000428079	0.011822403		
ZRANB1	-0.351443451	6.128100956	12.40196663	0.000428882	0.011822403		
C10H15orf48	1.075926989	6.727374056	12.39463101	0.00043057	0.011846069		
LOC789934	-0.905319023	2.008184726	12.37546658	0.000435012	0.011924625		
SCIMP	0.869234758	5.664135031	12.37510822	0.000435096	0.011924625		
REEP2	1.31303358	5.200677058	12.36440867	0.000437596	0.011970183		
GK5	0.547332345	3.906980841	12.32654952	0.000446561	0.012192057		
PPM1E	0.971402092	2.124673431	12.29776227	0.000453502	0.012357921		
LOC104974755	-1.522453657	-0.16805469	12.28591386	0.00045639	0.012412935		
LOC104970076	-1.271460896	2.388777713	12.25782406	0.000463311	0.01253926		
NOD2	0.703135392	4.765584417	12.25493996	0.000464028	0.01253926		
LOC104968439	-1.801654863	0.949652658	12.25075215	0.000465071	0.01253926		
ZBED1	0.378270462	5.316509611	12.2494433	0.000465397	0.01253926		
ATP6V1A	0.468865069	6.822926677	12.24932978	0.000465425	0.01253926		
LMNB1	0.555645146	6.683143294	12.21833114	0.000473222	0.012725316		
HRH2	-0.921229494	5.938632213	12.19133143	0.000480121	0.012886557		
TNFAIP3	0.527206018	5.136517508	12.17009536	0.000485618	0.012990268		
DERA	0.510946385	5.831920338	12.16937982	0.000485805	0.012990268		
MTMR12	-0.434085584	4.987839102	12.15653399	0.000489162	0.013023373		
FAM8A1	0.636655243	5.141906572	12.15646049	0.000489181	0.013023373		
UBA7	0.91601019	6.282181709	12.15418352	0.000489779	0.013023373		
GNG2	-0.453692971	7.034837915	12.14152487	0.000493114	0.013087696		
LOC100141258	0.820533174	7.656030398	12.10284249	0.00050345	0.013337226		
LACTB	0.553842552	5.569820228	12.08906449	0.000507184	0.013381203		
COMT	0.562985687	4.740992757	12.08450733	0.000508425	0.013381203		
OCIAD2	0.611748887	4.398364565	12.07929892	0.000509848	0.013381203		
APLP2	0.407684248	7.24249971	12.07557831	0.000510866	0.013381203		
MCOLN2	-0.370318897	5.59994553	12.07480451	0.000511078	0.013381203		
ICAM1	1.141005156	2.070688466	12.07034362	0.000512303	0.013381203		
LOC511936	0.894307796	2.793118889	12.06977216	0.00051246	0.013381203		
EMILIN2	0.754781115	7.756512055	12.0692355	0.000512607	0.013381203		
RTP4	0.987475984	3.804567439	12.06274619	0.000514395	0.013397477		
LRRC25	0.884940237	4.424685768	12.05927952	0.000515352	0.013397477		
LOC407204	-0.977476077	2.39708115	12.05677319	0.000516045	0.013397477		
PPP1R9A	0.845750812	2.947468145	12.05211199	0.000517337	0.013406642		
LOC104971501	-0.441219835	4.927268918	12.04840045	0.000518368	0.013409026		
MYLK	1.556778399	3.443436367	12.04218172	0.000520101	0.013429506		
LOC100847245	3.610595834	3.725947923	12.03356369	0.000522511	0.013467386		
LOC104976233	-0.804677661	3.572469282	12.02960334	0.000523622	0.013471714		
ZNF710	0.517921644	5.667443031	12.0150353	0.000527731	0.013553002		
BTBD8	-0.464633199	6.054626599	11.98784461	0.000535487	0.0137275		
BPNT1	0.478654172	5.152718612	11.96107574	0.000543235	0.013863991		
IL10	1.67174448	0.284640293	11.95961561	0.000543661	0.013863991		
LOC100848072	1.656056391	0.923469844	11.95939923	0.000543724	0.013863991		
MROH5	-1.218404613	0.885431688	11.94636248	0.000547542	0.013923159		
ARSA	0.564338176	5.060697122	11.94482207	0.000547995	0.013923159		
DCXR	0.636514258	2.871946654	11.9367453	0.000550375	0.013958812		
CD14	0.76532776	5.760288937	11.92299305	0.000554453	0.014037302		
RAB27B	0.767460201	4.221413614	11.89872291	0.000561724	0.014172586		
ENDOD1	0.892787103	6.643032029	11.89853242	0.000561782	0.014172586		
LOC532875	-0.376266762	4.724149765	11.8850461	0.000565864	0.014250398		
BAK1	0.663329667	6.212432385	11.86979649	0.000570516	0.014342262		
CRTAC1	-3.018229151	-0.522538502	11.86217128	0.000572857	0.014375795		
DAB2	-2.12798337	1.410788718	11.8564477	0.00057462	0.014394747		
NEDD4L	0.377809015	5.220953187	11.85124851	0.000576227	0.014409712		
ACSL6	0.510547097	6.6700112	11.84410398	0.000578442	0.014439814		
CALD1	1.555842855	6.234080124	11.81204579	0.000588487	0.014619498		
LOC618409	1.374660375	2.994040848	11.81059233	0.000588947	0.014619498		
SLC40A1	1.054890355	7.743861931	11.81036711	0.000589018	0.014619498		
ATPIF1	0.913130165	7.3357789	11.80810169	0.000589735	0.014619498		
KREMEN2	1.359551002	0.833431222	11.79751445	0.000593099	0.014652767		
ADGRG5	-0.575617353	5.267908975	11.79741655	0.00059313	0.014652767		
PLAC8	0.717395882	9.637341811	11.79241404	0.000594726	0.014666818		
CD27	-0.400794065	6.998322032	11.76277051	0.000604272	0.014876556		
NFKB2	0.537222215	6.418281302	11.74786223	0.000609132	0.014970379		
HSD17B12	0.637228442	5.99643706	11.73698011	0.000612704	0.015032294		
PGAM1	0.492174292	8.30068707	11.72570909	0.000616426	0.015097668		
FKBP4	0.565532551	6.013450301	11.7144913	0.000620153	0.015162944		
COX7A1	1.17529411	2.010016018	11.70231826	0.000624223	0.015236371		
LOC101907348	1.01539306	1.969210221	11.69038217	0.00062824	0.015308256		
C28H10orf105	-0.909745642	4.228837785	11.66447024	0.000637051	0.015496505		
LOC107131138	0.516359468	7.29272601	11.66125947	0.000638151	0.015496873		
LOC513508	-0.780738363	4.727735298	11.6570966	0.000639581	0.01550522		
GATA6	1.942852173	0.322426787	11.65329413	0.000640889	0.015510611		
SLAMF6	-0.535832679	7.732508243	11.6489922	0.000642373	0.015520216		
LOC104974258	1.138337941	1.125324507	11.64293781	0.000644467	0.01554451		
CCBL2	0.508131698	4.985482411	11.63486845	0.000647269	0.015585762		
MICU1	0.531947077	5.770238654	11.63166318	0.000648386	0.015586359		
RGS18	0.938822486	6.274646146	11.6239033	0.000651096	0.015625214		
RAP1GAP	0.611286791	4.268375008	11.61302965	0.000654914	0.015690461		
GATM	0.913528717	4.842125342	11.60403091	0.00065809	0.015740153		
SHTN1	0.515925526	5.437882568	11.59548576	0.000661121	0.015786199		
OPHN1	1.424248942	3.30689992	11.59001823	0.000663068	0.015806248		
TMEM220	1.658346147	0.339507699	11.5725418	0.000669329	0.0159062		
RFC5	-0.312292336	5.83021029	11.57209765	0.000669489	0.0159062		
LOC788175	0.952240571	3.499815128	11.56693034	0.000671352	0.015923969		
LOC100337493	2.029387241	2.27409507	11.5624646	0.000672966	0.015935788		
HMOX1	0.807945982	5.216993992	11.55890215	0.000674257	0.015939916		
SEMA7A	-0.787601666	5.198187954	11.53209791	0.000684048	0.0161375		
FAM111B	0.705214516	5.137647398	11.52985204	0.000684875	0.0161375		
CRYL1	0.688217461	3.015495293	11.51535916	0.000690235	0.01621064		
KLHL22	-0.55493157	7.323543257	11.5153206	0.000690249	0.01621064		
PTPRN2	1.123448085	0.652426281	11.5008876	0.00069563	0.016310173		
RCC2	0.305258784	7.206165907	11.48951075	0.000699901	0.016377877		
LOC101904784	-1.589595293	-0.117994932	11.48472566	0.000701705	0.016377877		
CPT1A	0.701735538	6.549012884	11.48405481	0.000701958	0.016377877		
TNS3	0.592772975	6.503920753	11.46625721	0.000708713	0.016508497		
LOC787709	-1.171953004	0.643402825	11.45363841	0.000713542	0.016593908		
IMPDH1	0.547802034	5.085847112	11.43840642	0.000719415	0.016703287		
LOC614705	0.842322304	0.997387996	11.41765087	0.000727496	0.016857542		
GNAS	0.513175519	9.399311875	11.41529423	0.00072842	0.016857542		
C14H8orf37	-0.542703754	3.944567448	11.40690864	0.000731715	0.016890387		
LOC104972992	0.987243693	0.879794954	11.40566562	0.000732205	0.016890387		
ZNF469	-1.435763505	-0.199977686	11.39145472	0.000737827	0.016992638		
SRL	1.669297453	0.674992042	11.37612697	0.000743941	0.017105845		
SESN1	-0.466717535	4.771055529	11.3726321	0.000745342	0.017110508		
UGCG	0.457231938	5.426791966	11.3652765	0.000748299	0.017150829		
PDLIM1	1.651908723	6.608595039	11.35036397	0.000754332	0.01725039		
MAP4K5	0.487329918	3.792247661	11.34787528	0.000755343	0.01725039		
BOLA-DMB	0.575928683	8.578555147	11.34560441	0.000756268	0.01725039		
LOC104975871	1.229400602	0.020228676	11.33404527	0.000760989	0.017330413		
LOC104972612	-2.47367369	0.937982115	11.32913324	0.000763005	0.017348646		
C13H20orf202	1.025161848	0.863619585	11.30650008	0.000772362	0.017533482		
LOC101907327	-1.559313549	-0.454040112	11.29823708	0.000775807	0.017581649		
CR2	-0.568211593	6.626557859	11.2925816	0.000778174	0.017581649		
SLC25A33	-0.701626603	4.358355509	11.29074814	0.000778943	0.017581649		
CHST15	-0.525676393	5.903291349	11.28963702	0.000779409	0.017581649		
PROSC	0.406544057	4.526703867	11.27350226	0.000786213	0.017704732		
IQCD	1.214844897	1.916243167	11.27082947	0.000787345	0.017704732		
ETHE1	0.562444871	4.771147603	11.26068354	0.000791661	0.017773775		
ELMO2	0.386710185	6.773024426	11.2488316	0.000796732	0.017859544		
IFI6	1.07608985	5.327347734	11.24365819	0.000798955	0.017862326		
LOC101903632	-0.931240485	1.982436155	11.24272395	0.000799358	0.017862326		
LOC107132903	0.755765596	3.34568986	11.23324414	0.000803451	0.017925741		
CCDC15	-0.33752114	5.719263609	11.2286095	0.00080546	0.017942526		
AFF1	0.41499926	6.336170017	11.21954749	0.000809402	0.017979405		
ZNF177	-0.358877858	5.139393028	11.21901729	0.000809634	0.017979405		
LOC789335	2.516891107	-0.606409633	11.19731861	0.000819156	0.018162626		
PTGS2	0.953308105	1.763577779	11.15870063	0.000836385	0.018504204		
PLVAP	-1.385903583	-0.201149068	11.15574614	0.000837718	0.018504204		
CCSER1	1.035372674	3.02375696	11.15134797	0.000839706	0.018504204		
LOC100335205	-0.802429759	7.948750152	11.15126179	0.000839745	0.018504204		
LOC788142	-0.740153649	3.180729014	11.12671521	0.000850932	0.018718946		
NLRP1	0.513539565	6.05583725	11.12183194	0.000853175	0.018718946		
ZNF572	-0.440273877	5.410263998	11.12051503	0.000853781	0.018718946		
PVRL2	1.131198261	3.572131819	11.11559264	0.00085605	0.018718946		
COL26A1	1.592376133	1.595385791	11.11325316	0.00085713	0.018718946		
LOC104968527	-0.739651455	1.765937832	11.11276385	0.000857356	0.018718946		
STAT1	0.744622111	9.510910606	11.1019712	0.00086236	0.018793035		
STARD5	0.676552734	2.627794943	11.09977496	0.000863382	0.018793035		
TSTD3	-0.363324395	4.90365504	11.08681058	0.000869439	0.01889607		
TMEM191C	1.052579693	0.778375189	11.08116345	0.000872091	0.018899799		
PQLC2	0.60991745	4.796750993	11.08080835	0.000872258	0.018899799		
NLRC5	0.420152842	8.489345103	11.06728957	0.00087864	0.019009249		
LOC101906312	-1.19262393	0.687711575	11.05907322	0.000882542	0.019064786		
OAS1Z	1.475304638	5.591887313	11.04961889	0.000887054	0.019111101		
MSRB3	0.78317314	2.444007142	11.04897326	0.000887363	0.019111101		
ZNF227	-0.408838493	4.762873434	11.02078708	0.000900958	0.019374669		
SARS	0.636606643	9.039418484	11.0149033	0.000903822	0.019407038		
KCTD19	1.225434238	0.338597421	10.98106304	0.000920476	0.019734953		
LOC104971613	-1.090244014	0.881816924	10.9740111	0.000923985	0.019780493		
RAB13	1.608598442	1.303763897	10.96364267	0.00092917	0.0198617		
CORO1B	0.543756734	5.660665534	10.95718323	0.000932414	0.019901265		
ADM	2.967355063	-0.889892787	10.94352721	0.000939312	0.019993909		
GPR4	-1.241219892	1.649478692	10.94215565	0.000940007	0.019993909		
PILRA	0.63270026	7.221395324	10.9402874	0.000940956	0.019993909		
PPP1CC	-0.28217052	7.786323276	10.91525009	0.000953758	0.020235834		
SPATA24	-0.462298264	3.95891462	10.90554572	0.000958768	0.020297355		
LOC100848900	0.599852118	3.031842547	10.90412986	0.000959501	0.020297355		
ZEB2	0.954484111	5.817092407	10.90014638	0.000961567	0.020310961		
MSH2	-0.315529332	6.107444658	10.89725224	0.00096307	0.020312672		
MSL3	-0.26891915	6.535309484	10.89334208	0.000965105	0.020325574		
GPR141	0.850330051	2.770691019	10.86607032	0.000979421	0.020570603		
DLC1	0.97164442	1.744958019	10.86569252	0.000979621	0.020570603		
DNASE1	-0.502058362	4.734045844	10.84792662	0.000989064	0.020711297		
H4	1.499911669	1.085721379	10.84459139	0.000990847	0.020711297		
PLOD3	0.336338635	4.968424712	10.84193108	0.000992272	0.020711297		
LMNA	0.98612967	3.981494389	10.84052221	0.000993027	0.020711297		
MR1	0.650698131	5.002725475	10.83681441	0.000995018	0.020711297		
ASCL2	1.569707877	-0.129992764	10.8368024	0.000995024	0.020711297		
TRABD2B	-0.717117406	2.80648472	10.83179836	0.000997717	0.020737117		
GOLGA7B	1.470579354	2.533053237	10.79164341	0.001019593	0.021135383		
LOC107131176	1.157301199	0.686874162	10.7891831	0.001020949	0.021135383		
43525	0.757118391	4.563360344	10.78851282	0.001021319	0.021135383		
TEP1	0.428272436	5.7656355	10.78409928	0.001023757	0.021155177		
TAPBPL	0.461181171	6.125560002	10.76392055	0.001034979	0.021356166		
SPDEF	-0.982157272	2.194190676	10.75942673	0.001037495	0.021377191		
ZBTB24	-0.375078083	5.496472035	10.74243825	0.001047063	0.021519656		
MYLIP	-0.386854456	6.34228433	10.74180084	0.001047424	0.021519656		
HSPH1	0.536146876	5.876799251	10.73548056	0.001051007	0.021522772		
VAT1L	-0.94710476	5.105687685	10.73475271	0.001051421	0.021522772		
LOC101902053	-1.231041743	3.88657997	10.73356232	0.001052097	0.021522772		
HIP1R	-0.381052125	7.055653376	10.72609057	0.001056354	0.021578938		
IMMP1L	-0.380343325	5.893299145	10.69952452	0.001071631	0.021859736		
TCF7L2	1.132611606	2.91441227	10.69456442	0.001074508	0.021868767		
PDE7A	-0.352858751	6.207799383	10.69253169	0.001075689	0.021868767		
CSTF3	-0.321828904	6.26326579	10.69084864	0.001076668	0.021868767		
NMI	0.600376486	6.870582744	10.67210936	0.00108763	0.022015651		
ACTB	0.419936721	11.64948616	10.67107351	0.001088239	0.022015651		
RSU1	0.955311688	7.544031013	10.67031805	0.001088684	0.022015651		
ADARB1	1.05640979	3.280332686	10.6679699	0.001090067	0.022015651		
HACD2	0.455320735	4.320327618	10.65640522	0.001096904	0.022122441		
FAM109B	-0.5989964	2.392889753	10.64554701	0.001103362	0.022208664		
LOC104976274	-0.379455868	5.514594337	10.64399353	0.00110429	0.022208664		
WWC2	0.626586714	3.606997024	10.63973434	0.001106836	0.022228562		
C1QB	0.996278019	5.523180251	10.62827495	0.001113716	0.022335316		
DYRK3	1.466528943	3.35371961	10.62184943	0.001117592	0.022381625		
IFI35	0.461185725	6.057198821	10.60408418	0.001128381	0.022566046		
LOC539533	-0.457949175	6.447989012	10.59928817	0.001131312	0.022593014		
CDC42EP3	-0.491542693	4.946193948	10.5752353	0.001146127	0.022856906		
RASSF6	1.703155361	0.924823534	10.56926884	0.001149832	0.022898815		
LOC104973494	-1.384294253	3.409488462	10.55339717	0.001159747	0.023056592		
APOBEC3A	1.538150303	4.597994347	10.55051271	0.001161559	0.023056592		
LOC104971307	1.256156626	-0.106286211	10.54862072	0.001162748	0.023056592		
BFSP2	0.695576712	3.519140102	10.54629317	0.001164213	0.023056592		
SEPP1	0.67213516	5.932065636	10.52836105	0.001175564	0.023249143		
RAB44	-1.351145708	1.425300862	10.50294899	0.001191842	0.023538463		
CD9	0.947192553	5.278513644	10.49494765	0.001197014	0.023607961		
FBXL3	-0.350732744	6.62792434	10.48981725	0.001200342	0.02363177		
LOC101903253	-0.594853118	3.80132927	10.48798828	0.001201531	0.02363177		
CD83	0.708625723	4.181639269	10.47036246	0.001213049	0.023825487		
RIPK1	0.376494068	6.816537788	10.46695686	0.001215287	0.023836662		
C1D	-0.349988642	5.220743964	10.45742652	0.001221573	0.023927088		
