genes	logFC	logCPM	LR	PValue	FDR	
CCDC187	-1.021641434	3.622110624	14.46131288	0.000143068	0.005903466	
LOC104973468	-3.734718778	1.650443966	14.45600758	0.000143472	0.005903466	
LOC790312	-0.968492274	4.159409086	14.39259438	0.000148385	0.006080706	
CALCOCO2	-0.545702057	7.36427718	14.38926937	0.000148647	0.006080706	
EPS8	1.495165916	1.070597953	14.38084082	0.000149314	0.006080706	
SKAP2	-0.79496092	7.519053642	14.37908039	0.000149453	0.006080706	
PGK1	-0.637907188	7.948795988	14.36163209	0.000150845	0.006107993	
BATF2	-3.056074075	4.481150969	14.36013089	0.000150965	0.006107993	
CPED1	-1.345604575	2.453069476	14.35304219	0.000151535	0.006114002	
TCF7	0.660332081	8.159113608	14.30993555	0.000155044	0.006238282	
GBP4	-1.133090268	5.251115209	14.29479584	0.000156296	0.006271285	
SDHD	-0.573232759	6.354225482	14.28229632	0.000157338	0.006294525	
PREB	-0.519679098	5.955769477	14.27746243	0.000157742	0.006294525	
MIB2	0.527934321	5.398507474	14.27021047	0.000158351	0.006301512	
PDE7B	1.513597866	1.596492275	14.25448746	0.00015968	0.006337012	
C2	-2.441154929	5.753894694	14.23372498	0.000161451	0.006389851	
CMBL	-1.197915761	3.637597994	14.20848154	0.000163631	0.006458546	
EGLN3	-1.464722635	6.42429164	14.18448232	0.000165732	0.006523719	
BRSK2	2.052226804	0.768365482	14.15661823	0.000168204	0.006603157	
CDC42BPB	-1.56755903	1.633964794	14.13822189	0.000169857	0.00665007	
NLRC4	-1.057440856	5.17357279	14.12590024	0.000170973	0.006675775	
LOC101903326	1.177946339	1.818166985	14.11271194	0.000172176	0.00670472	
LOC107132256	-2.735237889	0.929649658	14.10054241	0.000173294	0.006724236	
FAM117A	0.519813818	6.152486955	14.0971857	0.000173603	0.006724236	
NUDT11	1.941968289	-0.035281754	14.06638895	0.000176469	0.006817065	
TNRC6C	0.605646361	6.53623165	14.05852859	0.000177208	0.006827458	
ZNF84	0.541717511	5.06561879	14.04922586	0.000178087	0.00682845	
LOC100299600	1.253571387	2.834580965	14.04830482	0.000178174	0.00682845	
NOXA1	0.881722099	3.830882749	14.03878764	0.000179078	0.006845034	
MAP2K6	0.716603607	3.807226709	14.02402098	0.00018049	0.00685228	
CPOX	-0.718017842	4.584315193	14.02355234	0.000180535	0.00685228	
COL5A3	-2.890296207	-0.019376819	14.0220106	0.000180683	0.00685228	
JAG2	1.588123282	0.502542981	13.99060686	0.000183726	0.006949539	
CCDC86	-0.626450985	4.429552698	13.97869568	0.000184894	0.00697554	
SLC16A1	-0.589317241	5.695143042	13.97292504	0.000185462	0.006978857	
SV2A	0.619786662	5.402275639	13.96356997	0.000186387	0.006995547	
KCNQ4	1.450629664	1.333723142	13.9339191	0.000189351	0.007071301	
TLE2	1.296758954	1.808596044	13.93363232	0.000189379	0.007071301	
FXYD4	-2.435400682	8.350870701	13.92379581	0.000190373	0.007090175	
CXCL5	-2.499870263	2.848381666	13.91897592	0.000190862	0.007090199	
MGST1	-0.918132163	5.724974127	13.90931635	0.000191845	0.007091872	
ARHGAP32	-2.307390019	0.140884197	13.90894251	0.000191883	0.007091872	
LOC101907335	1.25840201	4.542808767	13.88650398	0.000194188	0.00715883	
SYNPO2	-1.781280934	3.909698919	13.87613677	0.000195262	0.007180205	
TRAFD1	-0.527323825	6.847974209	13.87102758	0.000195794	0.007181571	
BAG3	-0.672698569	4.453968194	13.86186438	0.000196751	0.007198495	
BCAR1	1.841141399	-0.195269285	13.85399742	0.000197576	0.007210531	
PLIN2	-0.906068938	5.666989699	13.84160559	0.000198883	0.007222738	
ETF1	-0.434825457	6.83563657	13.84139961	0.000198905	0.007222738	
ITGB3	-1.498409015	8.163724854	13.80894598	0.00020237	0.007330248	
PRDM16	1.456901158	3.158770917	13.78426088	0.000205047	0.007408273	
CD83	-0.88854138	4.154375411	13.7772079	0.000205818	0.007408273	
OLR1	-0.943615167	5.235787302	13.77135673	0.00020646	0.007408273	
NFKBIE	-0.616881522	4.957257015	13.77040673	0.000206565	0.007408273	
GPBAR1	-1.573192133	3.294067605	13.75497254	0.000208269	0.007446639	
AQP9	-1.29247707	3.478530324	13.75145003	0.00020866	0.007446639	
LOC751811	1.330416968	5.691803966	13.73786154	0.000210175	0.007479168	
EFHC2	1.529238482	0.424914445	13.73405506	0.000210601	0.007479168	
TLR2	-0.76321447	6.377198986	13.71519568	0.000212726	0.007536219	
LOC107133304	1.295524208	2.62997246	13.70086548	0.000214356	0.007575465	
PDE3A	-1.697322995	2.559547731	13.65578703	0.000219564	0.007740682	
CYBB	-0.92856673	8.773529373	13.63664463	0.000221813	0.007801067	
BAZ2B	0.71156679	5.702272725	13.63164897	0.000222404	0.007802958	
TTC28	1.043980541	3.319482746	13.62594692	0.000223081	0.007807833	
GNG2	0.529339886	7.051614335	13.60074114	0.000226096	0.007894346	
GBP5	-1.48288098	5.831849921	13.58206615	0.000228357	0.007941735	
TAMM41	0.680557203	3.541067407	13.58050295	0.000228547	0.007941735	
HMOX1	-0.978304196	5.218417397	13.538934	0.000233665	0.008100203	
LOC101904916	-1.641392401	0.878017287	13.51422651	0.000236762	0.008188009	
UNC5A	2.415006082	-0.253674618	13.48882723	0.000239988	0.008279876	
SHISA5	-0.723899429	6.312710484	13.48208147	0.000240852	0.008290005	
PVRL2	-1.311553072	3.619497045	13.47750413	0.000241441	0.008290607	
ARHGEF9	1.208919216	1.843770696	13.45148031	0.000244813	0.008386575	
RAB27A	-1.150240885	8.746532555	13.43967773	0.000246358	0.008418107	
ZAP70	0.72549697	9.022976704	13.43561134	0.000246893	0.008418107	
LOC101904373	-2.099133814	4.756985198	13.37744175	0.000254669	0.008662916	
PTK2	0.55307993	5.35818751	13.36264085	0.000256687	0.008711152	
HDAC7	0.573210841	6.685062041	13.33347066	0.000260711	0.008827088	
SPTLC1	-0.486663138	6.197060412	13.32483362	0.000261914	0.008847216	
LOC101907799	-2.308172399	4.109778818	13.30965426	0.000264043	0.008898434	
TSPAN15	0.909638927	4.775386103	13.30296409	0.000264987	0.00890957	
PIK3R3	1.084273095	2.61770118	13.29727195	0.000265793	0.008916021	
DHRS9	0.954729911	3.275251889	13.22836995	0.000275744	0.009228513	
PDIA3	-0.501023817	8.769626728	13.19436737	0.000280792	0.009375863	
ICAM1	-1.3619799	2.064630715	13.18596467	0.000282054	0.009396395	
PLCL1	1.206622857	5.275736477	13.16323956	0.000285495	0.009489275	
MAPK12	-2.794087342	-1.000683681	13.14264152	0.000288651	0.009572261	
DAGLA	1.595965381	2.478395464	13.11538555	0.000292881	0.009690409	
C23H6orf25	-2.145522705	8.543440758	13.08924892	0.000296995	0.009804223	
AFAP1	0.991016832	3.399943494	13.05980248	0.000301701	0.009936986	
COX7C	-0.923014926	6.068836204	13.03267062	0.000306104	0.010053123	
LOC107132998	1.789188784	2.152004129	13.02956601	0.000306612	0.010053123	
SCARF1	-0.786915875	4.141675154	13.0213695	0.000307957	0.010072273	
CLU	-2.323308675	6.966045893	13.0175666	0.000308583	0.010072273	
PWWP2B	-1.21559141	1.871085176	12.99796854	0.000311829	0.010155421	
SEPP1	-0.832522349	5.940825373	12.95266842	0.000319466	0.010380852	
MSMO1	-0.539851677	6.12231786	12.90247716	0.000328148	0.010639159	
TTLL3	0.634877282	4.469433819	12.87023248	0.00033385	0.01079994	
ASGR2	-2.11344823	0.337161551	12.85651162	0.000336307	0.01085524	
AMD1	-0.48412032	6.269914929	12.83639698	0.000339942	0.010948229	
SDHAF2	-0.643963731	6.035845136	12.83100086	0.000340923	0.010955557	
ALAD	1.013507611	4.323433755	12.82387878	0.000342224	0.010973061	
UQCRB	-0.609748238	5.783943241	12.77385784	0.000351497	0.011226466	
NOD1	-0.870696034	4.275720771	12.7729254	0.000351672	0.011226466	
TFEC	-0.925978674	5.50018966	12.75279624	0.000355477	0.011306739	
LOC101906179	1.5035203	1.65117593	12.75139435	0.000355744	0.011306739	
LOC107131161	1.494706469	1.172130618	12.7460871	0.000356755	0.01131411	
SAP25	0.885592691	4.871838754	12.73883938	0.00035814	0.011333293	
OAT	-0.556966234	6.091454914	12.72780402	0.000360259	0.011375579	
LAMC2	2.38477993	-0.621062419	12.72204716	0.00036137	0.011385898	
LOC107133121	-1.036450911	2.321371401	12.71497643	0.000362739	0.01140429	
ADAM17	-0.454556179	6.040894591	12.70633784	0.000364418	0.011410675	
PLAC8	-0.787901806	9.624676212	12.70585176	0.000364513	0.011410675	
LOC104974328	-1.736432102	2.187042557	12.69684257	0.000366274	0.011441124	
GALNTL6	1.656071264	0.500159784	12.68204388	0.000369184	0.011484907	
TRIM14	-0.529409076	5.423404134	12.67920926	0.000369744	0.011484907	
DOC2A	-2.414775105	1.465097553	12.67767581	0.000370047	0.011484907	
LOC101907242	1.713774358	0.136162123	12.67192209	0.000371188	0.01149574	
MAF	0.900595509	5.634746379	12.66401848	0.00037276	0.011519875	
GP9	-3.047612832	4.654235025	12.64018563	0.000377542	0.011632493	
DBNDD1	1.02683941	1.876636975	12.63789199	0.000378006	0.011632493	
DNM1	0.761249847	5.51281582	12.62701151	0.000380213	0.01167566	
LOC100848540	-2.344469273	1.386579715	12.6037614	0.000384971	0.011773925	
BTG3	-0.641427541	3.941713708	12.60345834	0.000385034	0.011773925	
SLC44A1	-0.418424842	5.675793156	12.58782279	0.000388268	0.011833778	
IVD	-0.462214568	6.413804622	12.58249515	0.000389377	0.011833778	
LOC107132327	-1.727114019	0.097317519	12.58221373	0.000389435	0.011833778	
SEMA3B	1.506422996	0.772082886	12.54453772	0.000397366	0.012049569	
LOC100336669	-1.063621688	5.21357927	12.53493631	0.000399413	0.012086411	
NCKAP5L	0.667806456	4.128235615	12.53007394	0.000400454	0.012092711	
RNF19B	-0.608715531	6.469965304	12.50971245	0.000404842	0.012199852	
PAM	-0.890081224	6.736538438	12.50533982	0.000405791	0.012203121	
MLLT11	0.851768747	3.847187791	12.49436347	0.000408182	0.012249667	
MSRB3	-1.02139922	2.432693799	12.47129868	0.000413253	0.012376279	
C1QA	-1.186692946	4.79881968	12.45950893	0.000415869	0.012404386	
PRMT2	0.508201743	5.660215276	12.45937443	0.000415899	0.012404386	
SLC16A10	1.099450572	2.745683455	12.45205149	0.000417533	0.012427595	
UBASH3B	0.775739987	4.171384421	12.43975828	0.00042029	0.012484079	
BCOR	0.532394249	5.684437896	12.43129013	0.0004222	0.012515219	
LOC100336807	-0.651478218	4.221541396	12.40782672	0.000427538	0.012647641	
MOCOS	-1.294657552	4.038328837	12.38394306	0.000433042	0.012775832	
FAM129B	0.90859744	5.051138019	12.38140534	0.000433631	0.012775832	
PCYT1A	-0.486142041	5.917683724	12.35825675	0.00043904	0.012909033	
IL17RC	-0.995591975	3.182942815	12.34573194	0.000441996	0.012969675	
TRIM21	-0.487207346	6.123746844	12.33653785	0.000444178	0.013007431	
MPV17L	-1.99000792	0.182136851	12.29582443	0.000453973	0.013267515	
FHL1	-1.708790654	7.893080916	12.26669308	0.000461115	0.013449178	
CENPV	0.751407339	4.543397904	12.24717158	0.000465964	0.013558548	
MYCN	2.029155	-0.496850966	12.24210765	0.00046723	0.013558548	
C15H11orf49	1.1624877	1.609136099	12.23645257	0.000468648	0.013558548	
LOC407205	1.581571124	2.990188542	12.23464892	0.000469102	0.013558548	
CSF1R	-0.792323995	7.433254975	12.23293888	0.000469532	0.013558548	
BMF	0.616319362	5.97297529	12.21452789	0.000474188	0.013665837	
ABI2	0.725422721	4.910103696	12.2069515	0.000476118	0.013685114	
NECAB2	1.386556284	2.04933092	12.20450963	0.000476741	0.013685114	
ADCY4	0.740314881	3.24727386	12.19303054	0.000479684	0.013712032	
PAQR8	-0.543225433	4.735292521	12.18972369	0.000480535	0.013712032	
DNASE1L1	-0.536506606	6.021337276	12.18669084	0.000481317	0.013712032	
CPNE9	0.96802477	1.894637566	12.18615509	0.000481455	0.013712032	
SIDT1	0.795986242	6.722732324	12.16702013	0.00048642	0.013823677	
RORC	-1.197426562	2.682611987	12.16372873	0.000487279	0.013823677	
FCER2	0.728680117	5.733246697	12.15878382	0.000488572	0.013833356	
CD163L1	1.248827943	4.529799439	12.1478723	0.000491439	0.013887454	
ALCAM	-0.52312496	5.286266366	12.13040094	0.000496065	0.013990946	
PITPNC1	0.648172599	5.437760441	12.11208019	0.000500962	0.014101697	
CPXM2	-2.323618661	2.21811239	12.07701936	0.000510471	0.014341581	
FAM65C	-2.079988182	2.875747994	12.0624592	0.000514474	0.014426123	
FXYD7	1.219576924	1.500414969	12.05236764	0.000517266	0.014476482	
NUB1	-0.535072181	7.39920427	12.03332782	0.000522577	0.014596981	
HRH2	0.964894339	5.93805073	12.02259007	0.000525596	0.014653136	
TBC1D8B	-1.05424415	2.290867062	11.98873651	0.000535231	0.014893152	
LOC101909455	1.432662907	1.119479229	11.97605622	0.000538885	0.014966169	
MVP	-0.600805101	7.231338098	11.96391349	0.000542408	0.015035268	
ADGRG5	0.685167504	5.259774352	11.94823762	0.000546991	0.015128386	
FSTL1	0.953342853	2.927418684	11.94390487	0.000548264	0.015128386	
SEPHS2	-0.439219826	6.803457297	11.93632466	0.0005505	0.015128386	
CYFIP1	-0.72626068	5.580657971	11.9344229	0.000551062	0.015128386	
CCDC181	1.364542309	1.840084402	11.93256678	0.000551611	0.015128386	
PRKCZ	0.725932295	3.258254392	11.93119745	0.000552017	0.015128386	
GNA15	-0.520648548	5.423368082	11.92764141	0.000553072	0.015128746	
GATSL2	0.581193272	5.738511636	11.91393761	0.000557155	0.015211799	
IQCD	-1.256619597	1.949175843	11.90617424	0.000559482	0.015237258	
SYTL3	0.808153545	6.669002179	11.90163612	0.000560847	0.015237258	
RHBDD2	0.478496651	5.387965296	11.90014306	0.000561296	0.015237258	
CD200	0.893644149	5.280761936	11.89686944	0.000562284	0.015237258	
WRB	0.777654374	2.551865585	11.86790121	0.000571097	0.015447279	
AIFM3	1.275900856	2.457049289	11.85685693	0.000574494	0.015510276	
TMEM230	-0.464228111	6.27732508	11.83517356	0.000581223	0.015662822	
C1QB	-1.152883712	5.505883444	11.82656314	0.000583917	0.015689482	
LOC531557	-0.77704903	5.152340471	11.82511059	0.000584372	0.015689482	
DFNB31	0.692674635	3.908906971	11.80986355	0.000589178	0.015789305	
SELT	-0.519688033	7.093187655	11.79473158	0.000593986	0.015888845	
IDH3A	-0.50396967	4.696535586	11.7872773	0.000596369	0.01592327	
TICAM2	-0.513237728	4.920529429	11.73657706	0.000612836	0.016332931	
ZNF362	0.56125653	4.40272594	11.72064113	0.000618107	0.016410828	
NPHP4	0.743505714	3.030165208	11.7192872	0.000618556	0.016410828	
KCND1	0.670460802	4.208973321	11.71750646	0.000619149	0.016410828	
ADCY6	-1.922937879	-0.442209212	11.70609828	0.000622956	0.016481669	
MAPT	1.256945329	2.263478722	11.69197642	0.000627702	0.016577036	
RAMP3	-2.469768233	1.568439541	11.68739585	0.000629249	0.016584368	
NOD2	-0.829003081	4.763952215	11.6812888	0.000631318	0.016584368	
TARSL2	1.814751149	1.870785114	11.67952437	0.000631917	0.016584368	
S100A1	-2.116915925	4.893564647	11.67767105	0.000632547	0.016584368	
M6PR	-0.447335289	7.466795418	11.64771465	0.000642815	0.01682321	
LOC101904579	-1.118713825	3.749690546	11.63688995	0.000646566	0.016890959	
TNF	-0.66154388	3.806178377	11.62883496	0.000649372	0.016933807	
BLOC1S5	-0.410809213	5.18887141	11.61903335	0.000652803	0.016972007	
C1QC	-1.15777261	4.75606722	11.61797728	0.000653174	0.016972007	
PSAP	-0.713498543	10.51494386	11.61267935	0.000655037	0.016990027	
TAF9B	-0.577881416	4.357419487	11.60358315	0.000658249	0.017014963	
CDADC1	-0.469263132	6.262860532	11.60332129	0.000658341	0.017014963	
ZNF286A	0.659404577	3.996147339	11.58778482	0.000663864	0.017101615	
OVOS2	2.850470253	-0.747424013	11.58726802	0.000664049	0.017101615	
IRF8	-0.565649629	6.215249573	11.58056089	0.000666448	0.017133031	
CDC25B	0.543587527	8.237052032	11.56599985	0.000671688	0.017237213	
L1CAM	1.271614424	5.909164816	11.56129868	0.000673388	0.01724905	
RCOR3	0.4780898	5.572288016	11.55806698	0.000674559	0.01724905	
CPNE7	1.157261122	3.148718252	11.55489428	0.000675712	0.01724905	
DLG3	0.898613079	2.496976569	11.53831968	0.000681762	0.017372978	
CACNA1H	1.158985007	2.490228045	11.52814875	0.000685502	0.017437693	
TULP2	0.873888714	2.141545994	11.51913355	0.000688835	0.01749183	
CDH24	1.037799657	2.271161107	11.50113009	0.000695539	0.017631243	
SMAD9	1.229487237	2.544473408	11.47777928	0.000704332	0.017823045	
CXXC5	0.550279497	5.325640368	11.471396	0.000706756	0.017853264	
GPSM1	0.596103246	4.908212075	11.46814756	0.000707992	0.017853448	
LRRC25	-0.988939003	4.406986689	11.45834001	0.000711738	0.017916814	
CSGALNACT1	0.696229727	3.745423233	11.44126797	0.000718308	0.018050895	
CD226	-0.536553961	6.173183537	11.42212885	0.000725745	0.018206295	
PPARGC1B	-0.835443616	4.643336432	11.41781412	0.000727432	0.018217162	
DERA	-0.545090779	5.832726344	11.4082513	0.000731186	0.01825584	
ZNF516	0.624683319	4.295520441	11.40747849	0.00073149	0.01825584	
LOC100299281	-0.810916607	5.778893984	11.39261643	0.000737366	0.018267933	
FAM111B	-0.794593407	5.103984922	11.392362	0.000737467	0.018267933	
XYLT1	0.60004349	6.145449082	11.39185591	0.000737668	0.018267933	
LOC100300223	1.036575149	4.268546336	11.39073458	0.000738113	0.018267933	
LOC101904939	-1.388155221	2.26560692	11.38832691	0.000739071	0.018267933	
LYSMD1	-0.977988898	4.377471905	11.38719508	0.000739521	0.018267933	
TRIB3	0.578656421	4.835038679	11.37641048	0.000743827	0.018343107	
SCAMP1	-0.510510999	5.736943069	11.36321531	0.00074913	0.018442571	
KCNH8	2.759097999	0.372720699	11.35663622	0.000751789	0.0184767	
CERS2	-0.458663242	7.195277399	11.34966352	0.000754616	0.018507077	
ALDOC	-0.691538098	5.909845319	11.3446038	0.000756675	0.018507077	
ENDOD1	-0.998462927	6.661333286	11.34418175	0.000756847	0.018507077	
DTX1	0.759871352	3.753749408	11.32973684	0.000762757	0.018620247	
RHCG	-3.687138393	-0.778676542	11.31929192	0.00076706	0.018687185	
LOC107131400	-1.385444155	0.81363717	11.31684211	0.000768072	0.018687185	
MCFD2	-0.562126996	6.261164142	11.3097712	0.000771003	0.018727115	
HSD3B7	-1.039098266	2.12464796	11.30326089	0.000773711	0.018747892	
IGFN1	2.339498658	-0.295901446	11.29937399	0.000775332	0.018747892	
CLIC2	-1.839123828	0.839757592	11.29842106	0.00077573	0.018747892	
SRPK2	0.553275786	7.250427307	11.28987299	0.00077931	0.018803122	
TBC1D8	-0.859485759	6.516910171	11.25215694	0.000795305	0.019157233	
FXYD3	-3.113993037	1.758612347	11.2294369	0.000805101	0.019361072	
MAP4K2	0.504789337	7.654619491	11.21286647	0.000812321	0.019490893	
SSBP4	0.529190928	5.659444464	11.21089967	0.000813183	0.019490893	
CTSC	-0.735884211	8.1841893	11.19114726	0.000821885	0.01966702	
RHOBTB3	1.046088193	1.666278187	11.18526029	0.000824497	0.019697068	
DNAH14	2.054737272	1.623451705	11.17962123	0.000827007	0.019697484	
CNDP2	-0.601250997	6.953134648	11.1791278	0.000827227	0.019697484	
MICU1	-0.603562408	5.770689662	11.16790947	0.000832244	0.019784512	
LOC104972288	1.948147685	1.151937626	11.15230977	0.000839271	0.019879783	
LOC101905885	1.594210752	-0.110545726	11.14937039	0.000840602	0.019879783	
LY6G6C	-1.934644722	4.715444076	11.14891878	0.000840807	0.019879783	
BCL11B	0.681833456	6.97900133	11.14689212	0.000841726	0.019879783	
PTOV1	0.741373605	4.323096497	11.13868398	0.000845459	0.019935528	
HMGCS1	-0.505636279	6.758791718	11.11756052	0.000855142	0.020131176	
SLC15A3	-0.717418432	5.431579874	11.1089452	0.000859123	0.020150477	
WDSUB1	-0.915748874	2.62271677	11.10469276	0.000861096	0.020150477	
PAMR1	-2.069543745	-0.111394365	11.10383622	0.000861493	0.020150477	
LIMS1	-0.816092821	7.334846148	11.10379829	0.000861511	0.020150477	
GAREM1	1.100472952	2.151118345	11.08056903	0.00087237	0.020345927	
LOC789229	0.611127699	6.672477189	11.07796019	0.000873598	0.020345927	
LOC107133321	0.985833612	2.809108166	11.07696079	0.000874069	0.020345927	
GNB4	-0.889191372	4.721248711	11.07140043	0.000876694	0.020374379	
WC1-12	1.038710323	5.914892045	11.06730302	0.000878634	0.020386833	
SERPINE2	0.637962066	6.072416458	11.06242094	0.00088095	0.020407982	
CFAP69	-1.870692334	1.116670941	11.03037839	0.000896309	0.020730702	
LAMP2	-0.582851471	7.141207318	11.02334474	0.000899716	0.020747393	
PRSS45	2.029197922	0.340241519	11.02134864	0.000900685	0.020747393	
PLEKHG2	0.77454722	3.914568714	11.02005223	0.000901315	0.020747393	
DCAF15	0.487820864	5.536274889	11.01583318	0.000903369	0.020761766	
NPHP1	-0.63901219	4.084036938	11.00133662	0.000910462	0.020891724	
KANTR	0.947268933	2.192625334	10.99158364	0.000915266	0.020968824	
CHPF	0.616971416	4.443054585	10.96375392	0.000929114	0.021252569	
LOC104969170	3.716415758	-0.692550893	10.95587944	0.000933071	0.021309517	
PLAGL2	-0.534142951	5.354235275	10.94990134	0.000936086	0.021344818	
DBP	0.627781999	4.423407329	10.93967486	0.000941267	0.021429312	
LOC515150	1.468885738	3.890631576	10.91389639	0.000954456	0.021695567	
LOC104970840	-1.142606025	3.069085628	10.90805805	0.000957468	0.021730046	
HK3	-0.627719165	7.758640834	10.90135408	0.00096094	0.021774808	
RGS17	2.079688364	0.509227747	10.89048792	0.000966594	0.021863319	
BOLA-DRA	-0.626976481	10.4212445	10.88806973	0.000967856	0.021863319	
AKAP7	-0.686917947	3.964375798	10.87901364	0.0009726	0.021936365	
LOC101904172	0.818613442	2.32649634	10.87225534	0.000976156	0.021947701	
EPDR1	1.314230877	1.393826729	10.87213986	0.000976217	0.021947701	
LOC104972869	-2.501215057	2.376481309	10.86944929	0.000977636	0.021947701	
SLC22A17	1.101552542	1.706278593	10.86313805	0.000980973	0.021958356	
DSE	-0.639861849	3.863017792	10.86283446	0.000981134	0.021958356	
IGSF8	-0.728306611	5.194367004	10.85686367	0.000984303	0.021968819	
ZNF157	1.02924999	1.550289719	10.85625415	0.000984627	0.021968819	
PALM3	-1.162148304	2.486738333	10.83990414	0.000993359	0.022129656	
TTYH3	-0.560227821	6.156870127	10.83141264	0.000997925	0.022190778	
LOC789748	-0.900082771	5.490355449	10.82912593	0.000999158	0.022190778	
PDIA4	0.509837043	7.249186436	10.82025851	0.001003955	0.02226327	
NDST3	0.991169638	2.624045551	10.81649389	0.001005998	0.022274579	
RBM44	5.044710487	0.494082326	10.81025325	0.001009395	0.022315771	
DLG4	0.672737433	3.893350066	10.80374573	0.001012949	0.022360317	
SEMA3G	1.056601842	2.231527014	10.77793528	0.001027172	0.022639868	
PSMG2	-0.485074294	4.906341384	10.76825556	0.001032558	0.022724094	
NPC2	-0.805767333	7.832435832	10.75251639	0.001041376	0.022883495	
SCML4	0.592682495	7.026042227	10.74623823	0.001044915	0.022926572	
LOC107131257	1.335934674	0.02908637	10.70772774	0.00106689	0.023359816	
CRLS1	0.511409669	6.962385254	10.70601598	0.001067877	0.023359816	
MPEG1	-0.682516284	8.460912202	10.69726477	0.00107294	0.023429768	
IRF5	-0.515682294	7.504971123	10.69491989	0.001074301	0.023429768	
ARMCX4	0.999549482	2.003620973	10.67529877	0.001085756	0.023644098	
MERTK	-1.71668908	2.874309569	10.66896818	0.001089479	0.023689639	
URI1	-0.403180804	6.011230566	10.66299058	0.001093005	0.023730795	
KLHL5	-0.394881655	5.605143909	10.64938455	0.001101075	0.023870329	
ZNF672	-0.795854661	3.408796655	10.63931807	0.001107085	0.02396484	
ZDHHC2	-1.347962745	3.77953547	10.63098808	0.001112083	0.024037206	
DNASE1	0.531158252	4.726691453	10.62750816	0.001114177	0.024046698	
ADGRG6	-1.386744864	0.30254953	10.62467583	0.001115885	0.024047825	
COLGALT1	-0.487578218	6.524409848	10.61868946	0.001119504	0.024090059	
IDO1	-1.001364287	8.463868153	10.61517489	0.001121633	0.024100186	
LOC784052	3.76071503	-0.986411507	10.60857031	0.001125647	0.024150696	
LOC613677	-0.832159707	3.403170251	10.60251188	0.001129341	0.024194222	
LAMP1	-0.722120507	8.517711469	10.59732373	0.001132515	0.024226475	
RRP1B	0.523044551	5.612992239	10.54638304	0.001164157	0.024866731	
MFSD1	-0.465992535	5.471801119	10.53557341	0.001170985	0.024940185	
LOC107131224	-1.107953333	7.55411082	10.53550362	0.00117103	0.024940185	
PDE2A	0.741149327	4.241908891	10.53206909	0.001173208	0.024949992	
SEC14L5	-1.4613298	3.483488917	10.51452652	0.001184398	0.025151136	
ZBTB4	0.542426738	6.554081372	10.50443302	0.001190885	0.025251976	
IL1R1	0.730323471	5.989710398	10.47983289	0.001206847	0.025553132	
PRCP	-0.454359099	4.897938869	10.47167878	0.001212185	0.025609886	
SMARCD3	0.956113965	1.91545385	10.4703559	0.001213053	0.025609886	
INSIG1	-0.510806055	5.732520853	10.46177179	0.001218703	0.025691823	
ARRDC5	0.535526854	4.08406916	10.45394337	0.001223879	0.02576354	
LOC506486	1.694499736	0.671693805	10.44208301	0.001231763	0.025891975	
ENO1	-0.506709217	9.058943787	10.43510461	0.001236425	0.025952427	
LOC100847890	-0.637235226	6.901653096	10.40993748	0.00125339	0.026270545	
AFF3	0.821649286	6.608786312	10.39827435	0.001261331	0.026398902	
DYNLT1	-1.361352753	7.995517406	10.37546031	0.001277013	0.026688654	
CHCHD10	-1.351127202	1.203175007	10.36526424	0.001284085	0.026797898	
C3AR1	-1.209947774	3.53766983	10.35456963	0.001291546	0.026914923	
LOC618737	-1.128441333	2.464630276	10.34424355	0.001298791	0.02702713	
RSAD2	-1.849672512	5.59539718	10.33369429	0.001306235	0.027143151	
ITGB1	-0.527071274	9.082936307	10.3286119	0.001309837	0.027179113	
CXCL12	0.946454124	4.815076118	10.32171412	0.001314741	0.027206295	
NHLRC1	-0.98161332	2.360113118	10.31928781	0.001316471	0.027206295	
LOC101902390	1.557247612	0.110948015	10.31887408	0.001316766	0.027206295	
LOC101903170	1.316943356	1.346935354	10.29768101	0.001331975	0.027481443	
ZEB1	0.523237206	5.352121436	10.29206971	0.001336031	0.027490103	
RFESD	-1.43256451	2.060817828	10.29186475	0.00133618	0.027490103	
CRLF2	-1.713465448	3.125777181	10.28242332	0.001343034	0.027592043	
LOC107131763	1.355106279	0.927594823	10.27404858	0.001349144	0.027678419	
AASS	-0.736875758	3.455537078	10.26272117	0.001357453	0.027809599	
AEBP1	0.747754088	3.473744908	10.254926	0.001363201	0.027888021	
SUFU	0.585675028	4.818493252	10.25158653	0.001365671	0.027893253	
TSPYL2	0.436471187	5.212561644	10.24624544	0.001369631	0.027893253	
SLC35G1	-0.610326813	4.263693735	10.24516358	0.001370434	0.027893253	
EIF1B	-1.077650592	7.768185767	10.24421636	0.001371138	0.027893253	
S1PR1	0.474468165	7.82709338	10.23634301	0.001377003	0.027973386	
RASSF4	-0.803155824	5.235409932	10.22338482	0.001386711	0.028131258	
LOC104971726	-1.504037828	0.655135108	10.21014605	0.001396701	0.028212066	
PER3	1.320319789	4.968461745	10.20857971	0.001397888	0.028212066	
SLAMF8	-1.966612801	2.247460538	10.20571418	0.001400062	0.028212066	
MPP1	-0.593174814	6.82421027	10.20564323	0.001400115	0.028212066	
RGS18	-1.019836834	6.307049177	10.20526043	0.001400406	0.028212066	
GJB2	-1.146875612	2.355889136	10.18858655	0.001413126	0.028428884	
SCG5	1.111277243	2.627953933	10.15468231	0.001439352	0.028916442	
