genes	logFC	logCPM	LR	PValue	FDR								
PVRL2	1.371803987	3.619497045	20.5151996	5.92E-06	0.000239357								
UPB1	1.44624797	2.045762774	20.47764514	6.03E-06	0.000243422								
KLF17	-2.286491489	-0.029703308	20.46158646	6.08E-06	0.000244307								
VSTM2L	-1.221217594	4.194854261	20.45985093	6.09E-06	0.000244307								
SBK1	-1.048735331	2.494514443	20.45481591	6.11E-06	0.000244307								
MATK	-0.681504005	6.229057276	20.4324358	6.18E-06	0.000246218								
SH3BGRL	0.937891213	8.060750835	20.42938787	6.19E-06	0.000246218								
RNF19B	0.670574919	6.469965304	20.39437632	6.30E-06	0.000250079								
MMEL1	-1.473648401	0.98300218	20.38879221	6.32E-06	0.000250126								
DYRK3	1.750897277	3.361992866	20.345949	6.46E-06	0.000255094								
TRAFD1	0.551621164	6.847974209	20.31378044	6.57E-06	0.000258716								
MYLK	2.086459229	3.474363393	20.2880397	6.66E-06	0.000261512								
SLC45A3	-1.306196014	3.355045363	20.27958969	6.69E-06	0.000261961								
UGCG	0.65864372	5.416025262	20.25957417	6.76E-06	0.00026346								
WDSUB1	1.061101967	2.62271677	20.25838799	6.77E-06	0.00026346								
TBC1D8B	1.171239289	2.290867062	20.17919302	7.05E-06	0.000273861								
CXXC5	-0.649682334	5.325640368	20.13597726	7.21E-06	0.000279211								
CACNA1S	-1.057208564	4.089958178	20.1271226	7.25E-06	0.000279211								
TLE2	-1.40942147	1.808596044	20.12690658	7.25E-06	0.000279211								
RPS6KA2	-0.648741822	5.156084343	20.12101844	7.27E-06	0.000279331								
ETF1	0.453918048	6.83563657	20.0963182	7.36E-06	0.000282215								
TNFRSF1B	0.809706388	7.950040236	20.0266148	7.64E-06	0.000291921								
MAFF	1.802265401	2.244393611	19.96784016	7.88E-06	0.000300243								
CLEC1B	3.024616226	1.673090972	19.93298495	8.02E-06	0.000304966								
LOC751789	-1.411677626	3.519422865	19.92785878	8.04E-06	0.000304987								
RAB39A	1.133939749	2.315011852	19.89979479	8.16E-06	0.000308691								
COL5A3	2.811803414	-0.019376819	19.88757282	8.21E-06	0.000309863								
STX11	1.150707708	5.623731982	19.87658085	8.26E-06	0.000310843								
CD27	-0.578478383	7.00251206	19.86900322	8.29E-06	0.000311271								
PWWP2B	1.278959705	1.871085176	19.84192363	8.41E-06	0.000314314								
PDE9A	-1.204258683	2.532135655	19.84055343	8.42E-06	0.000314314								
SIGLEC1	1.838506914	2.047068823	19.82152138	8.50E-06	0.000316645								
PPBP	2.411249385	5.997199362	19.7953033	8.62E-06	0.000320197								
TUBB1	1.76851461	10.42199027	19.78415446	8.67E-06	0.000321114								
PDE2A	-0.911566055	4.241908891	19.78008791	8.69E-06	0.000321114								
LYSMD1	1.102237037	4.377471905	19.75210353	8.82E-06	0.000325023								
C23H6orf141	1.119254049	2.879843204	19.71193965	9.00E-06	0.000331086								
EMP1	0.769913883	5.757617155	19.70638526	9.03E-06	0.000331211								
YARS	0.457155464	5.664442128	19.68184134	9.15E-06	0.000334647								
AXL	1.614553326	2.312338981	19.66154446	9.24E-06	0.000337145								
LOC614141	1.862585014	3.71709945	19.65803035	9.26E-06	0.000337145								
LOC104971979	-2.687387628	-0.451192008	19.62219126	9.44E-06	0.000342669								
GPSM1	-0.695104505	4.908212075	19.59884637	9.55E-06	0.000345641								
LOC107131400	1.551055935	0.81363717	19.59616638	9.57E-06	0.000345641								
NOD2	0.921212981	4.763952215	19.57843812	9.66E-06	0.000347997								
LOC515828	-1.064179044	8.0482748	19.5200167	9.96E-06	0.000357916								
LAMP2	0.668853021	7.141207318	19.46389409	1.03E-05	0.000367677								
CNDP2	0.684301714	6.953134648	19.44189492	1.04E-05	0.000371021								
SLAMF8	2.285784725	2.247460538	19.40041564	1.06E-05	0.000378235								
CASP1	0.893885828	6.300244659	19.36173876	1.08E-05	0.000385028								
CRLF2	1.985552755	3.125777181	19.35610648	1.08E-05	0.000385221								
BATF2	2.879783172	4.481150969	19.32233613	1.10E-05	0.000391138								
LOC100337168	-1.533516762	0.937279401	19.29012501	1.12E-05	0.000396824								
WIPF3	2.654410767	-0.899880291	19.26783363	1.14E-05	0.00040051								
RGS20	2.078229392	5.464370742	19.2507408	1.15E-05	0.000403133								
RELT	1.24209268	5.493775806	19.22171408	1.16E-05	0.000408321								
ADAP2	1.285170101	3.103681718	19.18174026	1.19E-05	0.000415957								
SYTL3	-0.924502519	6.669002179	19.17009401	1.20E-05	0.000417496								
TRGC6	-1.456436792	4.815423067	19.15673869	1.20E-05	0.000419419								
FAM111B	0.8833558	5.103984922	19.08297409	1.25E-05	0.000434904								
GNG2	-0.558683312	7.051614335	19.06005027	1.27E-05	0.000439109								
WWC2	0.928968084	3.603082107	19.02625213	1.29E-05	0.000445891								
CALU	0.555380849	5.844834831	19.01679876	1.30E-05	0.000447041								
CMBL	1.175781702	3.637597994	18.9962159	1.31E-05	0.000450819								
LOC107133121	1.075227198	2.321371401	18.94649862	1.34E-05	0.000461626								
CLIC2	2.011285845	0.839757592	18.92133101	1.36E-05	0.000466653								
GALNTL6	-1.825504677	0.500159784	18.91460281	1.37E-05	0.0004672								
ALAD	-1.113180701	4.323433755	18.89228027	1.38E-05	0.000471589								
NCKAP5L	-0.730838825	4.128235615	18.86563917	1.40E-05	0.000477102								
GPC1	-0.768932768	4.353471687	18.85773563	1.41E-05	0.000477963								
TBK1	0.606528168	5.107528163	18.82321164	1.43E-05	0.000485559								
SEC23A	0.567141106	5.404141109	18.80283807	1.45E-05	0.000489632								
INSIG1	0.592253394	5.732520853	18.79723501	1.45E-05	0.000489933								
IQCD	1.341008925	1.949175843	18.75811598	1.48E-05	0.000498929								
SYNPO2	1.72322418	3.909698919	18.73535612	1.50E-05	0.000503731								
PLCD3	2.325384936	-0.699200218	18.73104135	1.51E-05	0.000503731								
CHCHD10	1.536609309	1.203175007	18.70591373	1.53E-05	0.000509239								
MME	1.870063672	1.065379602	18.69480628	1.53E-05	0.000511039								
CCDC187	0.989629001	3.622110624	18.68617458	1.54E-05	0.000512183								
DNASE1L1	0.573429756	6.021337276	18.64066502	1.58E-05	0.000522761								
NCMAP	-1.024469143	3.907474087	18.6384945	1.58E-05	0.000522761								
AKAP2	1.067285148	5.16586136	18.60442681	1.61E-05	0.000530564								
ZNF362	-0.628399609	4.40272594	18.6015824	1.61E-05	0.000530564								
TTC28	-1.098643256	3.319482746	18.58052515	1.63E-05	0.000535243								
LOC104974542	-1.225812029	4.020910397	18.56679881	1.64E-05	0.000536608								
IL20RA	2.568659066	-0.339706416	18.56566419	1.64E-05	0.000536608								
SLC15A3	0.797933099	5.431579874	18.56277437	1.64E-05	0.000536608								
ARL10	-0.705397565	3.881591782	18.55206968	1.65E-05	0.00053842								
MGC139164	-0.5634938	8.020892151	18.54176575	1.66E-05	0.000540128								
ECE1	0.635498906	7.657770629	18.52804658	1.67E-05	0.000541919								
LGALS9	0.638416611	8.188392816	18.52694585	1.68E-05	0.000541919								
ADGRG5	-0.7634539	5.259774352	18.514387	1.69E-05	0.000544289								
LOC107132903	0.935101071	3.339003025	18.50243599	1.70E-05	0.000546498								
PBX1	-1.472824777	3.200291888	18.47737233	1.72E-05	0.000552508								
MAP2K6	-0.733121277	3.807226709	18.46630095	1.73E-05	0.0005545								
SHISA5	0.728041443	6.312710484	18.45009454	1.74E-05	0.000557871								
NXN	-0.879469357	3.861614046	18.4463561	1.75E-05	0.000557871								
IFI44	1.295181421	5.539118979	18.43390835	1.76E-05	0.000560295								
CPNE7	-1.326432127	3.148718252	18.40320571	1.79E-05	0.00056815								
SPTLC2	0.689817657	6.586052482	18.38850255	1.80E-05	0.000571137								
ENAH	-0.908124069	3.590325599	18.37960524	1.81E-05	0.000571137								
EPS8	-1.528064097	1.070597953	18.37693016	1.81E-05	0.000571137								
TOX	-0.96862125	5.573003623	18.376609	1.81E-05	0.000571137								
ABCA2	-0.83905917	5.468120818	18.3710562	1.82E-05	0.000571564								
APLP2	0.573341611	7.2384307	18.34393169	1.84E-05	0.000578507								
EGLN3	1.402387058	6.42429164	18.33199861	1.86E-05	0.000580887								
CFAP69	2.028097328	1.116670941	18.3198194	1.87E-05	0.000583356								
IL1R2	-1.567894681	2.768161358	18.27225628	1.91E-05	0.00059682								
FNBP1L	-1.050489027	1.926946272	18.24634858	1.94E-05	0.000603698								
FMNL3	-0.673859673	5.178001462	18.22138707	1.97E-05	0.000610354								
LOC100849762	-1.477669064	1.496928839	18.21730531	1.97E-05	0.00061036								
SDHAF2	0.660616769	6.035845136	18.19473251	1.99E-05	0.000616322								
ZAP70	-0.757695212	9.022976704	18.18763746	2.00E-05	0.000617309								
LOC100848540	2.296746763	1.386579715	18.17273283	2.02E-05	0.000620841								
CLEC2B	1.15921433	2.964590913	18.14859088	2.04E-05	0.000627433								
XDH	0.736967222	9.705791594	18.1345246	2.06E-05	0.000630425								
NQO2	-0.907045816	4.799512516	18.13149591	2.06E-05	0.000630425								
GPR15	-0.748424205	4.267881472	18.12701189	2.07E-05	0.000630584								
AMD1	0.497289759	6.269914929	18.09983764	2.10E-05	0.000638306								
LOC104968958	4.564409159	-0.126917567	18.08290549	2.11E-05	0.000641541								
LOC104973832	2.09516593	0.994278189	18.08224575	2.12E-05	0.000641541								
PGK1	0.616424424	7.948795988	18.04609638	2.16E-05	0.000652476								
LOC101907196	1.28096395	4.676075427	18.04084347	2.16E-05	0.000652918								
ASGR2	2.064837187	0.337161551	18.03188255	2.17E-05	0.000654638								
MEX3B	-1.069642708	2.272274806	18.01827235	2.19E-05	0.00065797								
TTLL3	-0.669145135	4.469433819	18.00182372	2.21E-05	0.000662308								
PHC1	-0.616691171	5.092487437	17.9651273	2.25E-05	0.000673808								
DGKD	-0.543586665	7.634335811	17.95063371	2.27E-05	0.000677561								
CISH	0.627979179	5.168580148	17.93591288	2.28E-05	0.00068142								
CD300LF	1.157036373	5.680789622	17.87936694	2.35E-05	0.000700531								
ARPIN	1.43822773	1.090961501	17.81567887	2.43E-05	0.000722892								
PREB	0.500730162	5.955769477	17.76934649	2.49E-05	0.000738075								
NPC2	0.889254728	7.832435832	17.76836482	2.49E-05	0.000738075								
OBSL1	-1.390032848	3.518953999	17.76278616	2.50E-05	0.000738738								
LOC101907348	1.337726539	1.941901438	17.74738735	2.52E-05	0.000743231								
SGCE	-1.72672272	0.717666561	17.72039083	2.56E-05	0.000752328								
BRB	-1.960057667	3.70588072	17.70499149	2.58E-05	0.00075691								
GBP5	1.425585274	5.831849921	17.68548435	2.61E-05	0.000763171								
ZDHHC2	1.467219857	3.77953547	17.65028972	2.65E-05	0.000775137								
CHP1	0.767024931	6.134706002	17.64823881	2.66E-05	0.000775137								
FAM131B	-1.083079221	3.298959663	17.59735979	2.73E-05	0.000793204								
CALCOCO2	0.521502428	7.36427718	17.59679644	2.73E-05	0.000793204								
AP1G2	-0.612598997	4.745347341	17.55574806	2.79E-05	0.000808895								
LOC107131726	-1.695512467	1.448031125	17.49195994	2.89E-05	0.000833955								
TTYH3	0.614791673	6.156870127	17.49016255	2.89E-05	0.000833955								
SERPINE2	-0.717979211	6.072416458	17.48033606	2.90E-05	0.000836613								
AOAH	0.74075553	6.752017643	17.41742122	3.00E-05	0.000863053								
SPRED1	1.136061417	1.90735434	17.40107138	3.03E-05	0.000868788								
CDC25B	-0.595338074	8.237052032	17.39439715	3.04E-05	0.000870125								
MPV17L	1.951848285	0.182136851	17.3706929	3.08E-05	0.000877236								
LOC100299600	-1.262010864	2.834580965	17.36985745	3.08E-05	0.000877236								
NECAB2	-1.503643769	2.04933092	17.36771406	3.08E-05	0.000877236								
SLC22A17	-1.249897516	1.706278593	17.34887891	3.11E-05	0.000884239								
MVP	0.624112342	7.231338098	17.33702716	3.13E-05	0.000888033								
SAP25	-0.929649949	4.871838754	17.32579637	3.15E-05	0.000891256								
FAM134C	-0.471704233	7.855982904	17.32273373	3.15E-05	0.000891256								
TSPAN18	-0.926597599	3.908314474	17.31530981	3.17E-05	0.00089289								
SGPP1	0.551282767	5.773089762	17.31187328	3.17E-05	0.00089289								
TNS3	0.793991366	6.498598928	17.25930832	3.26E-05	0.000914594								
ASB2	1.5386942	1.218700472	17.25888559	3.26E-05	0.000914594								
JAKMIP3	0.629963311	4.612370664	17.23779735	3.30E-05	0.00092302								
FAM65C	2.049918226	2.875747994	17.21579451	3.34E-05	0.000931977								
DCAF15	-0.541713462	5.536274889	17.19811709	3.37E-05	0.000938884								
FSTL1	-1.028770621	2.927418684	17.18323206	3.39E-05	0.000944456								
RTCB	0.547219093	5.703501355	17.15757407	3.44E-05	0.000955165								
BTG3	0.64394544	3.941713708	17.15416982	3.45E-05	0.000955165								
ZNF428	-0.977287268	3.348466413	17.15093005	3.45E-05	0.000955165								
BCAS1	2.254396651	-0.726293112	17.12242081	3.50E-05	0.000967766								
LOC512486	1.222771638	8.046800806	17.0961397	3.55E-05	0.000979389								
DLG3	-0.978786449	2.496976569	17.08456751	3.58E-05	0.000983509								
NYNRIN	-1.511220507	1.745408371	17.06756958	3.61E-05	0.000990475								
LOC616782	-1.258571683	5.072799748	17.0224232	3.69E-05	0.001012392								
9-Mar	-0.708587697	3.884349152	17.01611034	3.71E-05	0.00101385								
TRIM14	0.529567258	5.423404134	17.00431944	3.73E-05	0.001018248								
ARRDC4	1.029956476	6.004598053	16.97629469	3.78E-05	0.001031451								
IL10RA	0.656422877	7.567704501	16.96170025	3.81E-05	0.001036089								
MTMR12	-0.519065961	4.984336215	16.96066673	3.82E-05	0.001036089								
LOC101907335	-1.264232781	4.542808767	16.95276245	3.83E-05	0.00103847								
GATSL2	-0.618399939	5.738511636	16.94401101	3.85E-05	0.001041326								
LOC100849587	-1.362919552	0.652676098	16.91624412	3.91E-05	0.001054705								
DAAM1	0.552047946	5.266365506	16.87087239	4.00E-05	0.001078216								
LOC101903326	-1.15932863	1.818166985	16.85175602	4.04E-05	0.001087113								
GZMA	1.728431305	4.82378781	16.83328061	4.08E-05	0.001095719								
SLC35G1	0.674916018	4.263693735	16.81969393	4.11E-05	0.001101555								
LOC101905290	2.0921964	0.302617767	16.79714113	4.16E-05	0.001112672								
BAZ1A	0.474135797	7.57699013	16.78426619	4.19E-05	0.001118187								
PRR7	-1.297733192	1.961213584	16.77879445	4.20E-05	0.001119359								
PDE8A	1.05277429	1.967477269	16.76640239	4.23E-05	0.00112463								
HRH1	1.31548188	2.581083317	16.75967166	4.24E-05	0.001126563								
STAT1	0.999392231	9.483600492	16.75069487	4.26E-05	0.001129383								
ICAM1	1.295138799	2.064630715	16.74800303	4.27E-05	0.001129383								
KIAA1324L	-0.835649282	4.41833939	16.74055667	4.29E-05	0.001131762								
LTBR	0.878619777	4.393457136	16.73594832	4.30E-05	0.001132456								
MGST1	0.859814983	5.724974127	16.69409708	4.39E-05	0.001152911								
LOC107131330	2.017347042	1.525699837	16.69338035	4.39E-05	0.001152911								
ALCAM	0.529566104	5.286266366	16.69168443	4.40E-05	0.001152911								
CCRL2	1.310652475	2.939679148	16.67182159	4.44E-05	0.001162947								
MICU1	0.635371837	5.770689662	16.64439716	4.51E-05	0.00117776								
LOC104974755	-2.356642559	-0.12676869	16.63935369	4.52E-05	0.001178776								
ASPH	0.653436549	4.169829438	16.62168749	4.56E-05	0.001187674								
LOC407204	-1.258473751	2.415273341	16.61574751	4.58E-05	0.001188104								
NAMPT	0.610906554	5.82739025	16.61421486	4.58E-05	0.001188104								
CCDC181	-1.460211939	1.840084402	16.60656175	4.60E-05	0.001190164								
TPM4	0.525712012	6.787883011	16.60085163	4.61E-05	0.001190164								
ACSL4	0.651893315	7.337957228	16.60079645	4.61E-05	0.001190164								
DSE	0.68104372	3.863017792	16.59589322	4.63E-05	0.001191129								
LOC788175	1.282050723	3.479694899	16.57322236	4.68E-05	0.00120332								
CFAP74	-1.554416282	0.80886729	16.54218578	4.76E-05	0.001221015								
CREBL2	0.604651306	6.43528846	16.53583973	4.77E-05	0.001222947								
RGS18	1.107462802	6.307049177	16.51080529	4.84E-05	0.001235961								
IQSEC2	0.821294371	2.901114434	16.50909261	4.84E-05	0.001235961								
TSPAN32	0.898993207	5.636146288	16.46142998	4.96E-05	0.001262342								
NT5C3B	-0.557897417	5.309318287	16.46011736	4.97E-05	0.001262342								
RORC	1.176697205	2.682611987	16.45908042	4.97E-05	0.001262342								
LOC515150	-1.655529782	3.890631576	16.42144743	5.07E-05	0.001285405								
LOC104976912	-1.28752867	2.59463973	16.39577642	5.14E-05	0.001300661								
NAIP	1.069347615	9.068537983	16.38792343	5.16E-05	0.00130379								
SV2A	-0.598747814	5.402275639	16.37414738	5.20E-05	0.001309041								
HS6ST1	0.845623465	4.300771072	16.36813379	5.22E-05	0.001309041								
NUB1	0.539487738	7.39920427	16.36640594	5.22E-05	0.001309041								
LOC100848940	-0.674452334	9.88581367	16.36445418	5.23E-05	0.001309041								
PCBP4	-0.77550903	4.602826896	16.36389538	5.23E-05	0.001309041								
DOC2A	2.238804933	1.465097553	16.32954746	5.32E-05	0.001330688								
CELF5	1.849807437	-0.721646908	16.28574426	5.45E-05	0.001359466								
SHF	-1.563886676	1.699774718	16.27919663	5.47E-05	0.001361832								
LOC784541	0.855423619	4.820530241	16.25706848	5.53E-05	0.00137547								
PKLR	1.492716088	0.931471356	16.25341041	5.54E-05	0.001375772								
LAMTOR2	0.765898642	5.778325564	16.23883322	5.58E-05	0.001384033								
PLEKHG2	-0.841497728	3.914568714	16.22019002	5.64E-05	0.001395338								
TNFAIP3	0.644299421	5.14751356	16.20000626	5.70E-05	0.001406047								
SHTN1	0.691198385	5.435179488	16.19926294	5.70E-05	0.001406047								
LOC104973085	-1.347552231	3.975715001	16.19256139	5.72E-05	0.001408638								
EFNB1	0.900847049	3.047976075	16.17562897	5.77E-05	0.001418881								
KCTD1	-0.921013751	3.58045736	16.15482869	5.84E-05	0.001432125								
OVOS2	-3.107742401	-0.747424013	16.14364911	5.87E-05	0.001438174								
URI1	0.429668126	6.011230566	16.13580148	5.90E-05	0.001441714								
LIMS1	0.843344504	7.334846148	16.1155357	5.96E-05	0.001454774								
ILDR1	1.928322684	1.706059996	16.10881658	5.98E-05	0.001457495								
SRXN1	1.505042584	6.924625915	16.08340728	6.06E-05	0.001474708								
FRMD6	-0.847725575	4.845534259	16.06769171	6.11E-05	0.001484511								
RGL2	-0.502087707	6.906681198	16.06081627	6.13E-05	0.001487424								
FOXO4	-0.508890846	4.995234788	16.04332266	6.19E-05	0.001498727								
HAVCR2	-0.660786991	5.045063809	16.03968898	6.20E-05	0.001499108								
EPHX2	0.841761112	4.080130396	16.03558794	6.22E-05	0.001499863								
IKBIP	0.631513595	3.721893561	16.01734858	6.28E-05	0.00151187								
LOC104968753	-1.327640072	2.502107182	16.00085179	6.33E-05	0.001522576								
LOC101905734	-1.017552524	1.823242806	15.9971937	6.34E-05	0.001522999								
DRAM1	0.984995945	4.129326267	15.99127482	6.36E-05	0.001525247								
PF4	2.07275561	9.772202596	15.98714955	6.38E-05	0.001526056								
NACC2	1.19152242	3.307499863	15.96721215	6.44E-05	0.001539676								
LOC516742	1.166414525	3.349407582	15.9508105	6.50E-05	0.001548684								
DTX1	-0.806769765	3.753749408	15.94988385	6.50E-05	0.001548684								
PYCARD	0.823241682	5.676014908	15.94685233	6.51E-05	0.001548684								
DUSP5	0.892807234	4.23069389	15.94011881	6.54E-05	0.001551663								
METRNL	0.811228076	4.923454292	15.92623774	6.59E-05	0.001560534								
ZNF414	-0.766646288	4.826395481	15.92165511	6.60E-05	0.001561769								
KLK1	-1.601192787	-0.145845781	15.91000697	6.64E-05	0.001568855								
LOC101907995	1.983101204	-0.75374275	15.88492342	6.73E-05	0.001587205								
PRKCZ	-0.746493158	3.258254392	15.87737941	6.76E-05	0.001590438								
ELANE	-1.602313215	1.709114317	15.87321053	6.77E-05	0.001590438								
LOC789029	-1.168669685	1.878841308	15.87187856	6.78E-05	0.001590438								
ZNF84	-0.511724226	5.06561879	15.85880497	6.82E-05	0.00159888								
YWHAG	0.498290802	6.234747761	15.80550383	7.02E-05	0.00164191								
ALDOC	0.702075239	5.909845319	15.7994392	7.04E-05	0.001644533								
JAG2	-1.52369703	0.502542981	15.7896362	7.08E-05	0.001648277								
CPSF1	-0.459380905	6.593126719	15.78780642	7.09E-05	0.001648277								
LOC100336669	1.016353805	5.21357927	15.7841057	7.10E-05	0.001648277								
TRIB3	-0.607684185	4.835038679	15.7830085	7.10E-05	0.001648277								
MYO9A	0.699968397	5.320081855	15.75140962	7.22E-05	0.001673366								
PLEKHH1	-0.994087981	3.110567428	15.71561979	7.36E-05	0.001702611								
NPHP4	-0.76627059	3.030165208	15.69825454	7.43E-05	0.001715583								
XYLT1	-0.628790104	6.145449082	15.6874366	7.47E-05	0.001722684								
OAS1Y	2.293247587	5.251927888	15.68058919	7.50E-05	0.001726192								
LYPLA1	0.413658803	6.0564183	15.64982331	7.62E-05	0.001749923								
COX6B2	-1.963225575	-0.200888453	15.64878139	7.63E-05	0.001749923								
CLIP1	0.706564105	7.049997064	15.64354401	7.65E-05	0.001752008								
LOC101909551	-1.282048318	4.012424589	15.62264043	7.73E-05	0.001766274								
ERAP2	0.812674412	7.286962358	15.62225222	7.73E-05	0.001766274								
RASGRP2	-0.531811592	8.813575222	15.61264799	7.77E-05	0.001772481								
LGALSL	1.120998004	7.206478597	15.582214	7.90E-05	0.001798417								
LOC100299281	0.813163838	5.778893984	15.57899233	7.91E-05	0.001798665								
FCHO1	-0.479833911	6.102511833	15.56433133	7.97E-05	0.001808638								
MUC15	-2.137791287	0.097463557	15.5626294	7.98E-05	0.001808638								
NFKBIE	0.564169456	4.957257015	15.55775876	8.00E-05	0.001810479								
AES	-0.515322155	7.914886303	15.54506518	8.06E-05	0.001819073								
FADS1	1.022856806	3.85137454	15.54292619	8.07E-05	0.001819073								
FAM26F	1.491792966	3.483440231	15.53296548	8.11E-05	0.001825847								
ABO	1.038828435	2.65441255	15.52741967	8.13E-05	0.001828377								
GNAQ	0.968671189	3.455009306	15.52384797	8.15E-05	0.001829003								
MAPK8IP3	-0.461138095	5.809400043	15.46724904	8.39E-05	0.001881689								
CYP51A1	0.548418791	6.390598257	15.46264712	8.42E-05	0.00188337								
ADAMTS2	0.784724283	5.138436661	15.44212392	8.51E-05	0.0018982								
C10H15orf52	1.279072525	2.209594705	15.44200788	8.51E-05	0.0018982								
SCPEP1	0.596675548	7.141698163	15.42896343	8.57E-05	0.001908416								
LOC786372	0.94078843	7.433939084	15.42371236	8.59E-05	0.001910795								
VTCN1	2.340757695	1.708799866	15.41892793	8.61E-05	0.00191271								
CPZ	-1.235798817	1.489268007	15.4090566	8.66E-05	0.001919792								
OSBPL6	-0.900301655	4.562498499	15.40498039	8.68E-05	0.001921005								
CD8B	-0.742159542	5.626759938	15.39709167	8.71E-05	0.001922263								
LOC107133157	2.121667706	-0.18031326	15.39571163	8.72E-05	0.001922263								
PLCL1	-1.183953031	5.275736477	15.39291617	8.73E-05	0.001922263								
UNC5A	-2.366524795	-0.253674618	15.39225641	8.73E-05	0.001922263								
GPR141	0.985816585	2.757923713	15.38911384	8.75E-05	0.001922549								
MOB1B	0.589489135	5.767530431	15.36646323	8.85E-05	0.001942796								
IGSF8	0.744494666	5.194367004	15.36031502	8.88E-05	0.001946156								
ZNF140	-0.761620832	3.321909191	15.35749895	8.90E-05	0.001946156								
VWF	1.953934077	5.990428769	15.33937062	8.98E-05	0.001961964								
RHBDD2	-0.482405312	5.387965296	15.33068905	9.02E-05	0.001968041								
TPP1	0.77214497	4.673781814	15.32560386	9.05E-05	0.001970387								
ALAS1	0.583157909	5.3034058	15.31111912	9.12E-05	0.001982581								
PVRIG	-0.775695816	5.734348706	15.29723172	9.19E-05	0.001994224								
SQRDL	0.575940443	7.549780632	15.28501564	9.24E-05	0.002003066								
FRMD4B	0.625204741	4.396405398	15.28323683	9.25E-05	0.002003066								
GP9	2.69880757	4.654235025	15.27622403	9.29E-05	0.002007524								
LOC107131176	1.424642774	0.67015039	15.27201673	9.31E-05	0.002009011								
ADAMTS10	-0.791016154	5.533563107	15.26528072	9.34E-05	0.002013197								
IDH3A	0.495076153	4.696535586	15.25694947	9.38E-05	0.002019101								
PDXK	0.898661453	4.942115544	15.24126105	9.46E-05	0.002030961								
GPHN	0.80806071	4.302751857	15.24030009	9.47E-05	0.002030961								
DMBT1	3.008092012	2.207879564	15.23676011	9.48E-05	0.002031771								
LOC101903098	-1.383159328	0.511685152	15.22308217	9.55E-05	0.002043525								
RFX5	0.618837716	5.424332783	15.18667691	9.74E-05	0.002080239								
RNF14	0.461779911	5.529022583	15.17783686	9.78E-05	0.002086931								
AIM1L	-0.955180884	4.085458595	15.16548439	9.85E-05	0.002097548								
AFF3	-0.893461893	6.608786312	15.15993165	9.88E-05	0.002100646								
CXHXorf21	0.675458827	5.984125975	15.14792628	9.94E-05	0.002110955								
LOC101906823	-2.456038003	0.097594686	15.13947695	9.99E-05	0.002114282								
LRWD1	-0.579819309	4.538423306	15.13944	9.99E-05	0.002114282								
TLE1	-0.900867753	3.882037599	15.13274914	0.00010021	0.0021187								
FXYD3	2.897994839	1.758612347	15.12734526	0.000100497	0.002121685								
LOC101909455	-1.460209989	1.119479229	15.10964236	0.000101444	0.002136351								
PDE12	0.59303131	3.505684165	15.10886037	0.000101486	0.002136351								
RHCG	3.403158503	-0.778676542	15.07386958	0.000103385	0.00217317								
MAGED1	-0.57425752	5.243412057	15.04432371	0.000105016	0.002204266								
OSBPL7	-0.596898531	5.38447632	15.03803836	0.000105366	0.002208427								
R3HCC1	-0.535449176	4.487190047	15.01045618	0.000106917	0.002237711								
SLC31A1	0.602676039	4.590024681	15.00088591	0.000107461	0.002245852								
ATP8B4	0.826754741	6.074277486	14.99815499	0.000107616	0.002245873								
BCAR1	-1.737505672	-0.195269285	14.98447187	0.0001084	0.002258971								
RNF144A	-0.547817191	6.510492739	14.97458251	0.000108969	0.002267588								
TSPAN15	-0.867765961	4.775386103	14.96791181	0.000109355	0.002271268								
ADCY3	1.51834178	1.093100534	14.9661234	0.000109459	0.002271268								
GOLIM4	0.588643972	4.509552173	14.94200938	0.000110867	0.0022972								
LOC101904685	1.873635271	4.532658154	14.93335945	0.000111376	0.002303273								
CCNI	-0.451793656	7.941470005	14.93165329	0.000111477	0.002303273								
ZBTB4	-0.576607766	6.554081372	14.91857716	0.000112252	0.002315998								
LOC783920	1.121317877	8.710369138	14.85779416	0.000115928	0.002388446								
PYGL	0.89952717	8.524273574	14.84556846	0.000116682	0.002400573								
KRAS	0.686654783	5.69245183	14.83770821	0.000117169	0.002404806								
SLC16A10	-1.081468321	2.745683455	14.83691026	0.000117219	0.002404806								
ITGB3	1.304385966	8.163724854	14.8240956	0.000118018	0.002414193								
SRD5A3	1.069219221	1.702999244	14.8206011	0.000118237	0.002414193								
ADAMDEC1	-1.60389685	4.992595781	14.8195792	0.000118301	0.002414193								
CCNJL	-1.078988024	4.360632044	14.81582859	0.000118536	0.002414193								
SEPP1	0.762499029	5.940825373	14.81376782	0.000118666	0.002414193								
ZNRF1	-0.706521233	6.03498105	14.81364756	0.000118674	0.002414193								
CABIN1	-0.608999705	6.288005847	14.77750318	0.00012097	0.00245747								
MRAS	1.129063336	2.434673791	14.7684677	0.000121551	0.002465825								
LOC509029	2.543148901	0.157495863	14.74914315	0.000122803	0.002487752								
SCN4B	-1.472958395	1.145280799	14.72788043	0.000124196	0.002512463								
LRRN2	-0.79877473	3.195554915	14.72017195	0.000124705	0.002519248								
EPHB6	-1.399527912	-0.164079461	14.70290822	0.000125852	0.002538892								
MRC2	-1.703166056	0.38573209	14.69928181	0.000126094	0.002540253								
BACH2	-0.954295613	6.499669092	14.69097051	0.000126652	0.002547943								
