genes	logFC	logCPM	LR	PValue	FDR						
CLEC5A	-1.357557781	2.885256283	18.41551048	1.78E-05	0.000390277						
C5AR2	-1.172857365	6.04526536	18.40689417	1.78E-05	0.000391454						
RIPK1	0.521513145	6.815917949	18.31843086	1.87E-05	0.000409147						
M6PR	0.486952836	7.466795418	18.31691776	1.87E-05	0.000409147						
ATF6	0.517179979	5.66820256	18.3068745	1.88E-05	0.000410691						
RTP4	1.252882916	3.765456876	18.30279045	1.88E-05	0.000410955						
CHST15	-0.675323845	5.936488783	18.23477355	1.95E-05	0.000424683						
SGMS1	0.471460759	6.359467189	18.23277773	1.95E-05	0.000424683						
LOC104976322	0.680191659	4.852206893	18.23163726	1.96E-05	0.000424683						
DUSP10	0.819747576	2.872281118	18.21323177	1.98E-05	0.000428167						
ZC3H12C	0.801343863	4.385017217	18.20258415	1.99E-05	0.000429925						
KLRB1	-1.719334221	3.903176605	18.17156456	2.02E-05	0.000436335						
LOC101906179	-1.719141401	1.65117593	18.15449696	2.04E-05	0.000439609						
JAKMIP3	0.649776326	4.612370664	18.11754726	2.08E-05	0.000447092						
FES	0.713805433	5.87885597	18.11670187	2.08E-05	0.000447092						
BLK	-0.951763623	7.709878835	18.11047184	2.08E-05	0.000447894						
LOC101907482	-2.162180561	-0.240968381	18.1033838	2.09E-05	0.0004489						
NAE1	-0.529430987	5.277029039	18.08772673	2.11E-05	0.000451939						
LNX2	0.749959408	3.819208639	17.94272393	2.28E-05	0.00048699						
CDHR5	4.909821265	1.108339835	17.84383067	2.40E-05	0.00051221						
LOC101908395	1.21567524	2.275953958	17.82954336	2.42E-05	0.000515313						
MAF	-0.966973991	5.634746379	17.81056124	2.44E-05	0.000519716						
UQCRB	0.62057691	5.783943241	17.7804879	2.48E-05	0.000527223						
POLG2	-0.630317265	5.18919371	17.77555501	2.49E-05	0.000527819						
NPC2	0.889120154	7.832435832	17.75525225	2.51E-05	0.000532703						
LOC107131831	2.593272329	0.102098698	17.74766352	2.52E-05	0.000534052						
P4HA1	0.534235087	4.605495976	17.73877752	2.53E-05	0.000535772						
RASSF6	2.135068342	0.945241705	17.72378953	2.55E-05	0.000539225						
ANKRD2	-1.283629439	1.84410684	17.70859728	2.57E-05	0.000542759						
PDE9A	-1.161751286	2.532135655	17.69536951	2.59E-05	0.000545755						
SV2B	-2.230033613	0.315183678	17.68313673	2.61E-05	0.000548481						
BDH2	-1.401044429	2.95647797	17.67608465	2.62E-05	0.000549723						
KLHDC2	-0.640670004	5.548459339	17.67287052	2.62E-05	0.000549858						
LOC104974259	-1.575931903	0.775034167	17.62284353	2.69E-05	0.000563699						
TCAIM	-0.796416014	3.229121967	17.60796786	2.71E-05	0.000567308						
C1QA	1.195417603	4.79881968	17.60463177	2.72E-05	0.000567488						
MRPL34	0.642233027	4.740177908	17.58839047	2.74E-05	0.000571534						
ZNF140	-0.824810153	3.321909191	17.56934766	2.77E-05	0.000576459						
LPCAT3	0.61843704	4.364430535	17.55707023	2.79E-05	0.000579012						
NHLH2	-5.518605543	-0.809234271	17.55550443	2.79E-05	0.000579012						
F13A1	0.9075685	10.21947442	17.54585642	2.80E-05	0.000581127						
MAPK11	2.58379247	-0.576250296	17.51176	2.86E-05	0.000590799						
LOC529196	1.200184545	4.294506517	17.49679811	2.88E-05	0.000593983						
ZRANB1	-0.463568786	6.133223403	17.49613377	2.88E-05	0.000593983						
OCIAD2	0.675417081	4.379442554	17.48580152	2.89E-05	0.000595631						
MS4A8	-0.956351921	6.083395541	17.48547328	2.90E-05	0.000595631						
DPYD	0.797349935	6.153375723	17.47057136	2.92E-05	0.000599469						
LOC107131397	1.954485605	2.759492736	17.46019516	2.93E-05	0.000601898						
LOC101907995	2.191054569	-0.75374275	17.45103168	2.95E-05	0.000603954						
CPT1A	0.930952181	6.573330738	17.40134492	3.03E-05	0.000619076						
LOC789335	3.154164442	-0.597505749	17.34280574	3.12E-05	0.000637542						
TNFRSF11A	-1.675912043	0.754373233	17.32637306	3.15E-05	0.000642176						
PPP5C	0.472102724	5.571829871	17.32344339	3.15E-05	0.000642264						
HK3	0.68260615	7.758640834	17.30804469	3.18E-05	0.000646583						
CCDC181	-1.526908337	1.840084402	17.29952524	3.19E-05	0.00064858						
CMBL	1.123825545	3.637597994	17.28999465	3.21E-05	0.000650931						
ZAK	0.578846173	5.104865129	17.27109614	3.24E-05	0.000656484						
NR4A1	1.12790776	3.333354517	17.26815141	3.25E-05	0.000656484						
GCSAM	-1.019936335	3.359562004	17.26590747	3.25E-05	0.000656484						
IPO5	-0.635160884	5.90382924	17.25169835	3.27E-05	0.000660494						
IRS2	-0.842643581	5.304189999	17.21654641	3.34E-05	0.000671895						
SALL2	-1.16529919	2.561041819	17.20084493	3.36E-05	0.000676218						
AMN1	-0.576590834	6.153834318	17.19909933	3.37E-05	0.000676218						
LOC107131743	0.74320469	3.919771593	17.18631981	3.39E-05	0.000679842						
ABAT	1.18415208	3.045523307	17.18227189	3.40E-05	0.000680352						
DLAT	0.495875726	4.677840493	17.1598319	3.44E-05	0.000687489						
ZBED1	0.478009994	5.301618844	17.15523763	3.44E-05	0.000688206						
SLC11A1	0.92624741	6.780617182	17.14197159	3.47E-05	0.000692077						
PLAUR	-1.086557144	4.063607021	17.12523185	3.50E-05	0.000697246						
TOMM40	0.533699785	5.057216861	17.10119589	3.54E-05	0.000705159						
WIPF3	2.410992617	-0.899880291	17.07884073	3.59E-05	0.000712532						
LOC101903668	-1.410875521	2.085763943	17.06961281	3.60E-05	0.000714127						
DAG1	0.665116835	4.301804567	17.06800777	3.61E-05	0.000714127						
LOC508441	-2.688942422	1.067494718	17.06681668	3.61E-05	0.000714127						
ZBED5	-0.485551393	5.436475268	17.06373146	3.61E-05	0.000714315						
ZFP1	-0.744329939	3.142128353	17.05010042	3.64E-05	0.000718483						
FCER1A	-1.507567911	2.611052679	17.04403665	3.65E-05	0.000719803						
LTB4R	-1.87781145	1.678120828	17.03693872	3.67E-05	0.00072152						
SRGAP2	0.744625183	5.08043772	17.02041959	3.70E-05	0.000726839						
LOC101908760	-0.710746555	3.912775337	17.00547457	3.73E-05	0.000731593						
CLEC2B	1.124154466	2.964590913	16.99987609	3.74E-05	0.000732763						
CLIP1	0.736098305	7.049997064	16.99610523	3.75E-05	0.00073323						
TMEM135	0.689780143	4.186398886	16.98081243	3.78E-05	0.0007373						
PDIA3	0.49228524	8.769626728	16.98048496	3.78E-05	0.0007373						
ACER2	1.161605025	3.481161421	16.97152565	3.79E-05	0.000739793						
POLR1D	0.633360423	5.646704114	16.94572558	3.85E-05	0.00074891						
LOC104969002	3.107586971	-1.138390095	16.93228325	3.87E-05	0.000753222						
LIF	-1.719916447	1.334714386	16.9214783	3.90E-05	0.000756509						
LOC100847780	1.175545631	2.654574614	16.91229352	3.91E-05	0.000759164						
HAX1	0.523045829	4.524043823	16.90826257	3.92E-05	0.000759763						
PRKCDBP	1.435615063	2.54048577	16.89760952	3.95E-05	0.000763022						
LOC101906756	-0.574488832	4.869613022	16.88572987	3.97E-05	0.000766791						
CCSER1	1.364819342	3.054783957	16.88032041	3.98E-05	0.000767958						
LOC751804	-1.00263664	8.000666064	16.87086784	4.00E-05	0.000770769						
CYCS	0.642234715	5.582935908	16.84904758	4.05E-05	0.000778648						
DCXR	0.808548504	2.852584652	16.81881677	4.11E-05	0.000790104						
MPP2	1.557536198	0.222057778	16.80035383	4.15E-05	0.000796775						
PSME2	0.724032524	7.076244094	16.78518103	4.19E-05	0.000802112						
COL26A1	2.042801741	1.632826779	16.77598461	4.21E-05	0.000804947						
LOC104968958	4.376863368	-0.126917567	16.76563174	4.23E-05	0.000808286						
FER	0.7897359	3.924906632	16.73617214	4.30E-05	0.000819855						
CALD1	1.709741907	6.278880467	16.68703606	4.41E-05	0.000840262						
DNAJA3	0.430476204	5.710154179	16.6836662	4.42E-05	0.000840653						
LOC509283	1.234400655	8.051542511	16.67860592	4.43E-05	0.000841795						
NDUFA5	0.755370294	4.55344328	16.66222692	4.47E-05	0.000847985						
LOC613677	0.884649548	3.403170251	16.64934373	4.50E-05	0.000852649						
SLC44A1	0.416568233	5.675793156	16.61652199	4.58E-05	0.000865843						
PRR5L	-0.848882146	6.041932508	16.61527132	4.58E-05	0.000865843						
ISG15	2.591335467	6.140374963	16.60107658	4.61E-05	0.000871213						
MUC19	1.953580992	0.432589976	16.57805696	4.67E-05	0.000880707						
IKBKB	0.412048219	6.478912273	16.51766857	4.82E-05	0.000908026						
SLC45A3	-1.179273572	3.355045363	16.51060319	4.84E-05	0.000910235						
EDNRB	-2.601487478	-0.164047674	16.5005327	4.86E-05	0.000913899						
SRPK2	-0.598063542	7.250427307	16.48666128	4.90E-05	0.00091942						
PI16	-1.361455877	0.983472192	16.48254265	4.91E-05	0.000920231						
CD209	-2.136705949	0.644141952	16.47862026	4.92E-05	0.000920948						
TRGC6	-1.348588382	4.815423067	16.47272042	4.94E-05	0.00092263						
ALDH4A1	0.876121354	4.900647877	16.46163904	4.96E-05	0.000926845						
DNAJA1	0.51906511	7.060795823	16.45707905	4.98E-05	0.000927885						
PDK4	1.170800332	4.986310475	16.44552843	5.01E-05	0.000932359						
LOC512684	-0.893488739	4.331582369	16.44177986	5.02E-05	0.000933008						
GJB2	1.253163728	2.355889136	16.43751266	5.03E-05	0.000933915						
LETM1	0.438293942	5.293157745	16.4233348	5.07E-05	0.000939724						
PDE8A	1.058888081	1.967477269	16.39072255	5.15E-05	0.00095446						
GAS1	-1.021065468	2.771396539	16.38900703	5.16E-05	0.00095446						
ATG7	0.65583681	4.942441251	16.37403135	5.20E-05	0.000960507						
H2AFY	-0.474215375	7.638181201	16.37157997	5.21E-05	0.000960507						
LOC100337168	-1.459311636	0.937279401	16.3698054	5.21E-05	0.000960507						
LOC100847700	0.729341731	4.545362557	16.36163836	5.23E-05	0.000962287						
DCSTAMP	1.812690385	3.555804581	16.36149377	5.23E-05	0.000962287						
LOC101905786	-0.964782271	3.171049314	16.34208371	5.29E-05	0.000970964						
OVOS2	-3.745140775	-0.747424013	16.33642798	5.30E-05	0.000972636						
IFI27	3.131280014	3.584483232	16.31958458	5.35E-05	0.000980082						
DYSF	1.059231174	4.79639622	16.2756593	5.48E-05	0.001001803						
CLIP4	-0.631900171	4.927761727	16.2610909	5.52E-05	0.001008265						
PGAM1	0.606632055	8.303267411	16.25345437	5.54E-05	0.001011066						
LOC107131279	-2.352343102	1.31541155	16.2361529	5.59E-05	0.001019061						
MGAM	-1.504247969	3.593189565	16.21287087	5.66E-05	0.001030369						
LDLR	0.776282848	5.121714627	16.20317736	5.69E-05	0.001034358						
TSPAN32	0.888277506	5.636146288	16.14749794	5.86E-05	0.001063365						
CLUH	0.635419399	5.150675349	16.14605296	5.86E-05	0.001063365						
SLAMF6	-0.751599732	7.730218074	16.12749775	5.92E-05	0.001070272						
AMPD3	-1.23908153	5.78726531	16.1260011	5.93E-05	0.001070272						
EVI5	0.63146474	4.616309591	16.12475219	5.93E-05	0.001070272						
CD1B	-1.897986659	0.356361227	16.12435554	5.93E-05	0.001070272						
MLH1	-0.48247284	5.185845843	16.11588853	5.96E-05	0.001073734						
FAM117A	-0.496901552	6.152486955	16.10589667	5.99E-05	0.001078076						
LOC100337093	2.330564523	3.654394805	16.10288565	6.00E-05	0.001078455						
GSTM3	2.205476905	1.62765068	16.09722182	6.02E-05	0.001080348						
C23H6orf229	-0.901114963	2.618399842	16.09266778	6.03E-05	0.001080401						
PIBF1	0.713292844	3.989301404	16.09245284	6.03E-05	0.001080401						
MAP4K3	-0.874080655	5.077695115	16.0812939	6.07E-05	0.001085448						
CLDND1	-0.523284565	6.217633441	16.07411644	6.09E-05	0.00108823						
LOC107131174	0.979884374	1.792114531	16.06029213	6.14E-05	0.001092411						
CXXC5	-0.582954629	5.325640368	16.05974497	6.14E-05	0.001092411						
NRG1	1.290411274	3.256207869	16.05872639	6.14E-05	0.001092411						
TBC1D12	1.110669333	2.074101862	16.05756062	6.14E-05	0.001092411						
ATG2A	-0.582253251	6.75248149	16.04463751	6.19E-05	0.001098381						
PRKRA	-1.158293282	3.106435831	16.04261146	6.19E-05	0.001098381						
DSE	0.672162646	3.863017792	16.01767401	6.28E-05	0.001111586						
FTL	0.75918113	8.661648478	16.00552183	6.32E-05	0.001117381						
DCBLD1	0.797197626	3.26510834	15.98917021	6.37E-05	0.001124771						
LOC107132710	0.606115711	4.310551124	15.98843613	6.37E-05	0.001124771						
TCN2	0.825367162	4.522472411	15.97659019	6.41E-05	0.001130458						
ARMC12	-0.732435651	4.046587334	15.97270942	6.43E-05	0.001131404						
LOC100295883	-1.05622274	3.981959415	15.94969085	6.50E-05	0.001143119						
COX8B	2.320137608	0.478872097	15.94862631	6.51E-05	0.001143119						
LOC107131579	-1.967642258	1.969240747	15.94507414	6.52E-05	0.001143883						
SV2A	-0.595929558	5.402275639	15.92841028	6.58E-05	0.001152606						
SGCE	-1.687163178	0.717666561	15.9161806	6.62E-05	0.00115868						
ZNF548	-1.27774419	1.74624143	15.91274029	6.63E-05	0.001159262						
EHD4	0.940306278	3.45208144	15.90935857	6.64E-05	0.001159262						
SYNGR1	-1.1207777	1.926921984	15.90737595	6.65E-05	0.001159262						
PSRC1	-1.439531298	0.434119982	15.90613032	6.66E-05	0.001159262						
MMP19	0.984940813	3.380474253	15.8987757	6.68E-05	0.001162381						
LOC788801	0.78959366	7.276685664	15.89528833	6.69E-05	0.001163132						
LOC107132256	1.83516467	0.929649658	15.8908784	6.71E-05	0.001164453						
ECE1	0.588980448	7.657770629	15.88781735	6.72E-05	0.001164946						
LOC107131274	0.461321723	6.014972351	15.87757457	6.76E-05	0.001169872						
PGK1	0.578540381	7.948795988	15.8697177	6.79E-05	0.00117334						
LOC616868	-1.408954091	3.016385332	15.85780865	6.83E-05	0.001179343						
C1QC	1.148263872	4.75606722	15.84930516	6.86E-05	0.001183248						
ATP5C1	0.447247826	7.069642239	15.84610297	6.87E-05	0.001183846						
ARGLU1	-0.820788083	8.444763216	15.82967291	6.93E-05	0.001192755						
CAMK2G	-0.631963005	5.777320433	15.82098657	6.96E-05	0.001196825						
BTBD8	-0.618105151	6.055656897	15.7994529	7.04E-05	0.001209092						
WRB	-0.816924081	2.551865585	15.76295958	7.18E-05	0.001231185						
NCKAP1	-1.179151588	2.505186276	15.74252464	7.26E-05	0.001243047						
WSCD1	-1.634237281	1.280357199	15.74035909	7.27E-05	0.001243047						
HSPB1	0.672735115	7.28433955	15.69698763	7.43E-05	0.001270382						
BOLA-DMB	0.710841776	8.567450334	15.68871291	7.47E-05	0.001274452						
KIF1C	0.602203473	5.270490349	15.67435985	7.52E-05	0.001282653						
ADAT2	-0.569399728	4.261152871	15.65551334	7.60E-05	0.001293281						
LOC101905123	2.760529335	-1.290463288	15.65432036	7.60E-05	0.001293281						
FAM65C	1.858890736	2.875747994	15.63759683	7.67E-05	0.001303242						
ZEB2	1.269349916	5.845350695	15.6230949	7.73E-05	0.00131174						
RHBDD2	-0.490786354	5.387965296	15.61697157	7.76E-05	0.001313363						
LOC100848494	1.852803046	0.802869463	15.61634455	7.76E-05	0.001313363						
NOD2	0.823173469	4.763952215	15.57735782	7.92E-05	0.001339163						
FAM71F2	1.857066318	-0.648604629	15.55372591	8.02E-05	0.00135443						
EHD3	0.761020842	7.212549697	15.53438954	8.10E-05	0.001366765						
RAB13	1.93735031	1.338728008	15.52148701	8.16E-05	0.001374529						
MAPK12	2.644585673	-1.000683681	15.51757012	8.17E-05	0.001375784						
LOC100298356	1.51869521	3.508374834	15.50044759	8.25E-05	0.001386696						
TAPBPL	0.615560573	6.126490304	15.4927983	8.28E-05	0.001390709						
HACD2	0.586699082	4.311182998	15.47237099	8.37E-05	0.001404197						
ATF3	0.923167843	3.321424836	15.46986345	8.38E-05	0.001404439						
MYLK	1.751224804	3.474363393	15.46312471	8.41E-05	0.001407579						
ABTB2	0.727680113	3.778134336	15.46128799	8.42E-05	0.001407579						
MAB21L3	-2.352343856	0.078819988	15.4383826	8.52E-05	0.001423105						
LOC101904579	1.09643604	3.749690546	15.41554787	8.63E-05	0.001438751						
NFYC	-0.398736538	5.934451242	15.4114301	8.65E-05	0.001440236						
CLASP1	0.668897951	6.181197338	15.40272714	8.69E-05	0.001445227						
LOC101903951	1.591656521	-0.000839854	15.36937348	8.84E-05	0.001469281						
LOC104970076	-1.641995398	2.446274762	15.36438132	8.86E-05	0.001471484						
PLVAP	-2.069178126	-0.193324753	15.34840413	8.94E-05	0.001482286						
SRSF12	-1.185697958	2.528219899	15.32936734	9.03E-05	0.001495591						
IMPACT	-0.578914432	5.495774239	15.32129809	9.07E-05	0.001500282						
TPPP	-1.134484971	3.437186107	15.31004957	9.12E-05	0.001507525						
LRRK1	0.674086027	4.688813802	15.29847925	9.18E-05	0.001515063						
STK17B	-0.600924565	9.276313477	15.28781765	9.23E-05	0.001521909						
IFI44L	0.946834317	6.19365313	15.26243336	9.36E-05	0.001539811						
RGS10	0.756498011	6.724665759	15.26074744	9.36E-05	0.001539811						
WC1.3	-0.989886083	8.180262444	15.259308	9.37E-05	0.001539811						
AKR7A2	0.770782067	5.374679462	15.24705929	9.43E-05	0.001548078						
ZNF362	-0.578705937	4.40272594	15.22930099	9.52E-05	0.001560471						
FAM105A	-0.59286985	5.851967814	15.22773696	9.53E-05	0.001560471						
EPB41L2	0.636866303	4.36449153	15.22333502	9.55E-05	0.001562351						
LOC101906545	1.54678415	-0.142027324	15.21680985	9.58E-05	0.001565995						
LOC512869	1.295348494	3.719187138	15.20178444	9.66E-05	0.001576731						
LOC100299281	0.80120979	5.778893984	15.19328963	9.70E-05	0.001582062						
LOC100300760	-1.239721271	3.090606444	15.18466461	9.75E-05	0.001587523						
LOC785752	-1.015739312	2.269815392	15.18035891	9.77E-05	0.001589365						
CSF1	1.508482027	3.800576933	15.16735613	9.84E-05	0.001598558						
LOC532875	-0.478490186	4.73330278	15.14622897	9.95E-05	0.001614739						
IFI35	0.587597378	6.05091573	15.14145611	9.97E-05	0.001615509						
SULT2B1	-3.419655402	-0.896681219	15.14111526	9.98E-05	0.001615509						
LOC100847567	-0.48746522	5.353354613	15.1323258	0.000100232	0.00162124						
CYBB	0.836301352	8.773529373	15.12840955	0.00010044	0.001622799						
LOC104971220	1.986048712	0.160379011	15.12522196	0.00010061	0.001623735						
LOC516742	1.126795559	3.349407582	15.10941481	0.000101456	0.00163557						
LYPD8	-2.131080718	-0.091583274	15.09472454	0.000102249	0.00164652						
FAIM	-0.736475787	3.274538347	15.0798729	0.000103056	0.001657688						
GNAS	0.6687161	9.400003035	15.0680811	0.000103702	0.001666231						
MXD1	-0.932564423	8.575966671	15.04185957	0.000105153	0.001686088						
LOC100337081	0.690611096	5.489733321	15.04154865	0.00010517	0.001686088						
SLC36A1	-0.530047187	5.8459678	15.01341545	0.00010675	0.001708033						
IL4R	0.491977682	6.30149517	15.01298264	0.000106774	0.001708033						
CENPBD1	-1.013989843	1.757682992	15.00526917	0.000107211	0.001713142						
ELMO2	0.504921408	6.770320555	14.99119499	0.000108014	0.001724069						
GIMAP2	-0.781882828	6.188103012	14.96663686	0.000109429	0.001744737						
SQSTM1	0.641118212	8.695779702	14.94050045	0.000110955	0.001767134						
AGFG2	-0.630003989	5.130538424	14.93768868	0.000111121	0.001767831						
HIP1	0.82308229	4.916524141	14.93454326	0.000111306	0.001768843						
EXOC6B	0.864548536	4.847036946	14.92230553	0.000112031	0.001777274						
DLC1	1.258402341	1.737481946	14.92144813	0.000112081	0.001777274						
LOC104973322	-1.186408468	2.314133498	14.90320107	0.000113171	0.001792591						
ALDH1A1	2.171356023	0.047511948	14.8954544	0.000113636	0.001798006						
KIF5C	1.913998983	0.430229667	14.89104775	0.000113902	0.00180025						
SH2D1B	1.140908884	4.215745402	14.87451416	0.000114905	0.001814125						
PSMB10	0.777737282	7.207601442	14.87212988	0.00011505	0.001814447						
USP32	-0.801871284	7.380745155	14.86900209	0.000115241	0.001815487						
LOC107132838	1.118638926	2.881128886	14.83305765	0.000117458	0.001848412						
UGCG	0.564815612	5.416025262	14.83084724	0.000117596	0.001848577						
GAS2L1	0.986336115	4.568986479	14.77556431	0.000121095	0.001901512						
OAS2	2.778437567	4.704797034	14.75355225	0.000122516	0.001921762						
DAGLA	-1.576392373	2.478395464	14.74321368	0.00012319	0.001930244						
DPAGT1	0.724002742	4.534838346	14.73172878	0.000123943	0.001939946						
SOX13	-0.940235996	7.19278241	14.72170895	0.000124603	0.001948184						
LOC101905172	-1.618072862	4.714679182	14.69072273	0.000126668	0.001976108						
MIR24-2	-1.716891855	0.648598625	14.69004595	0.000126714	0.001976108						
LOC104975871	1.527429632	-0.008504457	14.68880214	0.000126797	0.001976108						
C14H8orf37	-0.718244139	3.951709355	14.67337123	0.00012784	0.001990215						
MESDC1	0.452972797	4.97743292	14.67127562	0.000127982	0.001990296						
EFR3B	-1.249379394	1.521150198	14.66086654	0.000128691	0.001997708						
BOLA-DRA	0.627529187	10.4212445	14.66023748	0.000128734	0.001997708						
CXCR4	-0.768269834	6.663221439	14.65196855	0.0001293	0.002002834						
MNAT1	0.592005299	4.202338698	14.65138437	0.00012934	0.002002834						
LOC107131979	-1.356925961	3.110229152	14.64405294	0.000129844	0.002008498						
LOC100335608	-0.637292336	4.440705249	14.64108398	0.000130048	0.002009524						
LOC100294954	-2.248905312	0.527435729	14.63772887	0.00013028	0.002010965						
CD74	0.642922988	11.59384567	14.60607922	0.000132486	0.002042851						
LOC511936	1.098296751	2.770820352	14.60229109	0.000132753	0.002044791						
SMPD1	-0.527170722	4.292408429	14.58728178	0.000133815	0.002058959						
OAS1Z	1.79683485	5.5672722	14.55400748	0.000136199	0.002093424						
GNB4	0.87590709	4.721248711	14.54729832	0.000136685	0.002098671						
FXYD3	2.719280766	1.758612347	14.54345004	0.000136964	0.002100741						
DOCK7	0.801725022	3.425484508	14.54065626	0.000137167	0.002101639						
NUDT10	-1.423147544	0.315692373	14.52261532	0.000138487	0.002119625						
TSPAN15	-0.858543867	4.775386103	14.51880802	0.000138767	0.002121677						
NMRK1	-0.647429303	3.842621549	14.49617237	0.000140445	0.002145066						
DFNB31	-0.695301415	3.908906971	14.49032574	0.000140881	0.002149474						
UBAC1	0.420703744	6.053649633	14.48583867	0.000141217	0.00215234						
C19H17orf75	-0.50173495	6.156120001	14.47524315	0.000142014	0.002162212						
RFC5	-0.412980373	5.82045208	14.47035441	0.000142383	0.002165561						
LOC101906312	-1.689595302	0.702581056	14.44312451	0.000144456	0.002194798						
LOC107133179	-0.854837852	4.577865929	14.41077457	0.000146959	0.002228382						
FAM129C	0.545217096	6.50886433	14.41058949	0.000146974	0.002228382						
FARSA	0.448961023	5.127227441	14.40205448	0.000147641	0.002236171						
LOC101902053	-1.734837747	3.930766882	14.35387494	0.000151468	0.002290043						
LOC100849074	-0.762391894	3.047374142	14.35013761	0.000151769	0.002290043						
ITGA5	-0.58920769	5.855837951	14.35013744	0.000151769	0.002290043						
LOC100336941	-0.607729894	7.595461267	14.34939225	0.000151829	0.002290043						
LOC104973690	0.80866933	2.794623028	14.33726999	0.000152809	0.00230016						
ZSCAN26	-0.734061456	3.807435107	14.33718762	0.000152816	0.00230016						
KEAP1	0.475370509	5.565808399	14.33508824	0.000152987	0.002300342						
LOC101907567	-2.202609426	4.435591379	14.32861606	0.000153513	0.002305877						
CPOX	0.627084936	4.584315193	14.31459221	0.000154661	0.002320719						
ZNF227	-0.516609391	4.741377855	14.30983567	0.000155053	0.002324189						
NMUR2	2.040612622	0.111147253	14.30684107	0.000155299	0.002325489						
RABGAP1L	0.840919323	8.762023268	14.29946453	0.000155909	0.002332216						
STAMBPL1	-0.511437636	4.553818649	14.27950517	0.000157571	0.002354652						
EMILIN2	0.878775745	7.769331545	14.24580844	0.000160418	0.002394724						
PRCP	0.461907969	4.897938869	14.21638059	0.000162946	0.002429457						
LOC104971307	1.566683486	-0.091843177	14.21484543	0.000163079	0.002429457						
ZNF395	-0.704832512	4.11088001	14.20046995	0.000164329	0.002445579						
GGT5	1.09248757	3.687546995	14.19762889	0.000164578	0.002446768						
AFF1	0.520076592	6.343300674	14.19282229	0.000164999	0.002450518						
IGFBP4	-0.806847124	4.131569154	14.16483839	0.000167471	0.002484696						
NLRP1	0.602041062	6.073683109	14.1464483	0.000169116	0.002506542						
UBE2A	0.442292438	5.536698016	14.13415914	0.000170224	0.002518419						
ZNF397	-0.764571153	4.364849441	14.13371988	0.000170264	0.002518419						
ZSCAN2	-0.844108129	2.274242858	14.10811961	0.000172597	0.002550329						
NCK2	0.720354044	4.843047644	14.10390442	0.000172984	0.002553453						
LOC101904603	-0.938616126	2.351152349	14.10115255	0.000173238	0.002554595						
TXNDC17	0.980498402	3.29787075	14.09757846	0.000173567	0.002556858						
LOC104970589	-0.620119387	3.84183489	14.08519924	0.000174713	0.002569296						
ENO1	0.509684642	9.058943787	14.08463937	0.000174765	0.002569296						
MEIS1	1.231947249	2.316891455	14.07961483	0.000175233	0.002573564						
CELF5	1.716602716	-0.721646908	14.06873315	0.000176249	0.002585882						
ASPH	0.600028977	4.169829438	14.06278841	0.000176807	0.002590397						
ABHD5	0.733677058	4.892434591	14.06165676	0.000176914	0.002590397						
RILPL2	0.917809008	8.989189327	14.04133546	0.000178836	0.002615903						
EGLN3	1.219341329	6.42429164	14.0317856	0.000179746	0.002626576						
MBP	-0.496459616	8.485770663	14.00335468	0.000182485	0.002663352						
LCN2	1.087268179	3.173941915	14.00186063	0.00018263	0.002663352						
VCL	0.876030312	7.765539618	13.97472643	0.000185285	0.002699357						
DIRAS2	-0.927723955	4.107059377	13.96998316	0.000185753	0.002700777						
LOC100847143	-0.677441593	5.070247236	13.96997026	0.000185754	0.002700777						
CTSB	0.693295245	8.850508535	13.96764198	0.000185984	0.002701419						
LOC100847696	-0.613482543	4.917947664	13.92878591	0.000189868	0.002755082						
ND6	0.684728415	5.561701831	13.92263844	0.00019049	0.00275888						
OGFR	0.526679708	5.876846796	13.92244483	0.00019051	0.00275888						
CDK19	0.429120118	6.074866955	13.90915178	0.000191862	0.002775693						
STARD5	0.840207666	2.632878558	13.9065729	0.000192125	0.002776738						
LOC751789	-1.175734398	3.519422865	13.90315241	0.000192475	0.002779031						
LOC509972	-1.127406068	8.801803644	13.90125844	0.000192669	0.00277907						
ITGB5	-1.360974718	2.559635678	13.88844386	0.000193988	0.002795307						
GLMN	-0.455613399	5.051263746	13.87029472	0.00019587	0.002819635						
LOC101907196	1.112488057	4.676075427	13.86676991	0.000196238	0.002822131						
GBA	0.449818549	5.478448659	13.85394301	0.000197582	0.002838649						
HRH4	-1.044571561	4.5969688	13.8470503	0.000198308	0.002844316						
PTDSS1	0.375608679	6.184725378	13.84619734	0.000198398	0.002844316						
KREMEN2	1.574815721	0.84463949	13.8435435	0.000198678	0.002844316						
ANKRD66	-1.762328062	-0.057917884	13.84277542	0.000198759	0.002844316						
CD226	0.508338191	6.173183537	13.83133084	0.000199974	0.002858876						
HYOU1	0.487683571	6.223452077	13.82012963	0.000201169	0.002873142						
KCNN4	-0.63127071	6.378299247	13.81798168	0.000201399	0.002873602						
DOCK5	-0.777291152	3.51228783	13.81337699	0.000201894	0.002877827						
TNFAIP3	0.599588503	5.14751356	13.79330064	0.000204063	0.002905891						
HPRT1	0.599476563	6.724883209	13.78080491	0.000205424	0.002922419						
LOC101907348	1.18211006	1.941901438	13.77696777	0.000205844	0.002925528						
ADHFE1	-0.619535654	4.208339536	13.76361561	0.000207313	0.002939241						
LOC515828	-0.889028326	8.0482748	13.76195784	0.000207496	0.002939241						
ZBTB25	-0.766009723	5.756384735	13.76187922	0.000207504	0.002939241						
MAP4K5	0.603715496	3.776685388	13.76084499	0.000207619	0.002939241						
